incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:22:00,--,Dark,69.25,6,2.5,,,,,,,70.5,3,1.3333333333333333,60.0,2,0.5,44.666666666666664,3,2.25,3.5,8,48.5,62.0,4,0.75,,0,0.0,,,,62.0,1,0.125
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:22:30,--,Dark,69.0,3,0.75,,,,,,,70.66666666666667,6,2.3333333333333335,59.0,2,2.0,46.0,5,4.0,0.5,4,90.5,62.0,3,1.0,,0,0.0,,,,59.0,4,0.375
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:23:00,--,Dark,66.66666666666667,6,4.5,,,,,,,70.33333333333333,5,1.3333333333333333,61.0,1,1.5,46.5,3,2.0,,0,50.0,64.5,5,1.0,,0,0.0,,,,58.666666666666664,5,0.875
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:23:30,--,Dark,66.5,3,1.0,,,,,,,71.33333333333333,3,1.0,61.0,1,0.5,45.333333333333336,4,4.0,12.0,8,51.5,65.0,6,1.0,,0,0.0,,,,58.0,7,1.875
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:24:00,--,Dark,63.0,5,2.75,,,,,,,71.66666666666667,7,3.0,55.0,1,0.5,,0,0.0,0.0,1,21.5,72.0,2,0.125,,0,0.0,,,,54.0,1,0.625
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:24:30,--,Dark,66.33333333333333,4,2.0,,,,,,,72.0,5,2.6666666666666665,,0,0.0,45.666666666666664,8,4.25,17.5,6,50.5,65.0,10,1.5,,0,0.0,,,,58.0,3,0.625
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:25:00,--,Dark,65.66666666666667,7,1.75,,,,,,,70.5,3,3.0,58.5,3,1.0,43.75,7,6.75,1.0,1,6.5,62.0,3,0.25,,0,0.0,,,,,0,0.0
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:25:30,--,Dark,66.0,8,2.0,,,,,,,70.33333333333333,6,1.3333333333333333,58.5,3,3.5,45.333333333333336,5,5.25,,0,0.0,68.0,4,0.625,,0,0.0,,,,61.0,9,1.75
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:26:00,--,Dark,69.0,4,1.25,,,,,,,70.0,4,2.0,,0,0.0,45.0,4,8.0,,0,50.0,60.0,1,0.125,,0,0.0,,,,58.333333333333336,4,1.25
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:26:30,--,Dark,60.0,1,1.0,,,,,,,69.33333333333333,8,5.333333333333333,62.0,1,0.5,36.0,1,0.5,20.0,9,46.5,62.0,1,0.125,,0,0.0,,,,57.0,1,0.5
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:27:00,--,Dark,57.0,1,0.25,,,,,,,71.5,4,2.0,62.0,2,0.5,46.0,10,3.25,18.5,4,47.0,60.666666666666664,6,1.5,,0,0.0,,,,58.0,4,0.625
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:27:30,--,Dark,67.25,9,3.0,,,,,,,70.0,6,1.3333333333333333,,0,0.5,34.333333333333336,14,21.0,16.0,3,48.5,60.0,1,0.625,,0,0.0,,,,58.333333333333336,5,0.875
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:28:00,--,Dark,68.25,6,1.0,,,,,,,70.0,6,2.0,63.0,3,1.0,38.666666666666664,8,2.5,2.0,2,22.0,64.0,2,0.5,,0,0.0,,,,57.0,5,0.5
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:28:30,--,Dark,67.33333333333333,7,1.5,,,,,,,70.33333333333333,5,2.0,64.0,1,0.5,35.75,16,28.75,25.0,3,39.5,63.0,2,0.125,,0,0.0,,,,59.25,6,2.0
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:29:00,--,Dark,65.0,4,1.25,,,,,,,69.66666666666667,6,1.6666666666666667,55.0,2,0.5,45.5,11,14.25,6.0,8,44.0,62.5,2,0.25,,0,0.0,,,,60.333333333333336,3,1.125
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:29:30,--,Dark,60.0,2,1.0,,,,,,,,0,0.0,,0,0.0,46.0,4,3.25,11.5,5,35.0,62.0,7,1.75,,0,0.0,,,,,0,0.0
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:30:00,--,Dark,63.5,3,1.5,,,,,,,72.0,3,1.6666666666666667,59.5,5,1.5,39.0,10,38.25,4.0,7,69.0,64.0,5,0.5,,0,0.0,,,,57.666666666666664,7,2.0
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:30:30,--,Dark,60.0,1,1.0,,,,,,,,0,0.0,55.0,1,0.5,41.5,8,23.25,2.0,5,86.5,65.0,4,0.75,,0,0.0,,,,59.0,3,0.75
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:31:00,--,Dark,65.0,5,2.5,,,,,,,72.0,1,0.3333333333333333,61.0,2,1.0,33.5,15,20.0,0.0,1,97.5,68.0,1,0.125,,0,0.0,,,,62.666666666666664,8,1.375
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:31:30,--,Dark,66.6,11,1.75,,,,,,,72.0,5,1.0,63.0,2,0.5,35.25,40,26.375,0.5,2,95.25,64.75,11,1.0,,0,0.0,,,,58.666666666666664,6,1.75
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:32:00,--,Dark,65.0,1,0.25,,,,,,,71.0,5,1.0,,0,0.0,,0,0.0,4.5,5,10.0,64.0,2,0.25,,0,0.0,,,,60.5,3,0.875
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:32:30,--,Dark,67.33333333333333,4,2.5,,,,,,,72.5,5,3.3333333333333335,,0,0.0,30.0,1,0.25,0.0,1,47.5,65.0,6,0.625,,0,0.0,,,,57.0,3,1.25
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:33:00,--,Dark,65.5,5,1.0,,,,,,,70.0,10,3.6666666666666665,60.5,2,1.0,,0,0.0,2.5,5,77.5,65.0,7,1.25,,0,0.0,,,,59.5,4,1.0
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:33:30,--,Dark,66.5,3,0.5,,,,,,,73.0,4,3.0,58.0,1,0.5,11.0,2,0.75,31.0,9,9.0,67.0,4,0.5,,0,0.0,,,,59.5,7,1.625
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:34:00,--,Dark,63.0,3,2.25,,,,,,,72.0,5,2.6666666666666665,,0,0.0,46.0,13,21.0,2.0,5,58.5,62.0,1,0.5,,0,0.0,,,,61.0,3,0.875
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:34:30,--,Dark,64.0,3,0.5,,,,,,,72.0,4,2.0,61.0,2,1.0,35.0,13,14.25,,0,87.0,69.0,3,0.25,,0,0.0,,,,60.75,8,3.25
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:35:00,--,Dark,67.0,9,3.0,,,,,,,71.5,6,1.6666666666666667,64.0,1,0.5,31.0,11,22.0,1.0,2,56.5,62.666666666666664,17,3.125,54.5,7,1.25,,,,57.0,7,1.5
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:35:30,--,Dark,68.5,2,0.5,,,,,,,71.0,4,1.0,,0,0.0,29.666666666666668,10,24.75,1.0,1,97.5,64.4,19,3.0,,0,0.0,,,,60.0,1,0.5
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:36:00,--,Dark,64.5,3,0.5,,,,,,,71.33333333333333,5,1.0,60.0,1,0.5,32.75,14,30.75,3.0,6,41.0,61.5,21,4.125,60.0,9,4.25,,,,62.25,17,2.75
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:36:30,--,Dark,65.5,2,1.0,,,,,,,73.0,1,0.3333333333333333,61.0,6,4.5,34.0,20,20.5,1.0,4,76.5,62.0,12,2.25,54.5,6,1.75,,,,59.0,1,0.25
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:37:00,--,Dark,66.33333333333333,4,1.5,,,,,,,72.5,4,1.6666666666666667,60.0,1,0.5,42.0,22,25.0,,0,50.0,62.0,17,3.625,53.5,14,3.75,,,,59.75,14,3.5
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:37:30,--,Dark,66.0,5,1.5,,,,,,,72.0,1,0.3333333333333333,,0,0.0,37.5,21,23.5,4.5,5,61.5,61.8,21,2.5,59.666666666666664,9,4.0,,,,62.333333333333336,13,2.75
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:38:00,--,Dark,64.66666666666667,7,1.5,,,,,,,72.33333333333333,5,3.3333333333333335,,0,0.0,30.666666666666668,23,37.0,,0,56.0,59.6,20,3.375,58.666666666666664,12,4.25,,,,59.25,13,2.125
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:38:30,--,Dark,62.0,2,1.0,,,,,,,71.0,2,0.6666666666666666,,0,0.0,35.333333333333336,23,22.25,,0,53.0,60.666666666666664,21,4.25,54.0,9,2.0,,,,60.5,12,1.625
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:39:00,--,Dark,62.666666666666664,3,1.5,,,,,,,70.66666666666667,4,1.3333333333333333,59.0,1,0.5,26.0,26,25.5,10.5,8,45.5,61.0,20,3.375,59.666666666666664,13,6.0,,,,62.25,10,1.75
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:39:30,--,Dark,,0,0.25,,,,,,,72.0,5,3.3333333333333335,62.0,2,0.5,36.666666666666664,20,24.75,0.0,2,95.0,61.166666666666664,20,6.0,59.666666666666664,8,4.5,,,,60.25,14,2.25
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:40:00,--,Dark,60.5,2,0.5,,,,,,,68.5,2,1.3333333333333333,60.0,1,0.5,,0,25.0,13.0,10,20.5,60.2,28,7.375,52.0,13,4.25,,,,64.0,4,0.75
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:40:30,--,Dark,60.0,1,0.25,,,,,,,70.33333333333333,8,2.6666666666666665,59.0,5,1.5,46.0,2,25.75,12.0,10,52.5,60.5,22,3.125,59.333333333333336,7,2.25,,,,63.0,15,1.875
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:41:00,--,Dark,63.5,2,1.25,,,,,,,,0,0.0,58.0,3,1.0,33.333333333333336,14,25.75,18.5,14,25.0,59.0,19,3.5,52.0,4,2.25,,,,59.0,12,2.875
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:41:30,--,Dark,62.666666666666664,6,2.5,,,,,,,67.0,1,1.3333333333333333,58.0,2,1.0,30.0,15,33.75,14.5,8,28.0,58.0,19,4.375,57.666666666666664,6,3.5,,,,61.5,19,3.5
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:42:00,--,Dark,61.0,2,1.0,,,,,,,70.0,3,1.6666666666666667,,0,0.0,31.75,17,21.0,27.5,9,9.0,60.0,22,6.625,59.666666666666664,9,4.25,,,,59.0,14,2.875
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:42:30,--,Dark,63.0,5,3.25,,,,,,,68.0,1,0.3333333333333333,58.5,3,1.0,32.75,25,29.0,20.0,9,13.5,59.2,18,3.25,52.5,6,1.0,,,,59.5,14,4.625
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:43:00,--,Dark,66.5,3,0.5,,,,,,,66.0,1,0.3333333333333333,,0,0.0,24.666666666666668,5,7.25,37.0,9,14.0,63.166666666666664,21,4.5,60.333333333333336,6,3.5,,,,57.0,7,1.25
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:43:30,--,Dark,57.0,4,1.75,,,,,,,69.0,2,1.3333333333333333,59.5,2,2.5,30.0,9,10.5,40.5,6,8.5,62.25,12,2.25,59.333333333333336,11,5.25,,,,55.666666666666664,12,3.25
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:44:00,--,Dark,63.333333333333336,8,3.75,,,,,,,68.0,2,1.3333333333333333,,0,0.0,31.0,2,1.5,31.0,1,1.0,62.333333333333336,7,1.125,,0,0.0,,,,59.5,11,1.75
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:44:30,--,Dark,62.5,2,0.5,,,,,,,67.5,6,5.666666666666667,,0,0.0,46.0,1,0.5,33.5,8,25.0,61.0,10,2.375,53.5,7,1.25,,,,59.75,15,3.0
1,00I75S,3.6,Prop Damage (under),2020-12-17,23:37,23,23:45:00,--,Dark,,0,0.0,,,,,,,64.0,1,0.3333333333333333,60.0,1,0.5,46.0,2,0.25,37.5,4,3.0,62.8,14,3.25,52.5,2,0.75,,,,60.0,7,1.0
