incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
1,00I24W,180.0,Prop Damage (over),2021-01-02,23:25,23,23:10:00,--,Dark,,,,62.0,4,4.333333333333333,64.66666666666667,14,7.666666666666667,66.33333333333333,16,4.0,68.0,6,1.0,64.66666666666667,11,2.0,69.25,7,1.5,65.0,2,1.0,68.0,3,3.0,70.0,5,2.0,57.0,3,2.5
1,00I24W,180.0,Prop Damage (over),2021-01-02,23:25,23,23:10:30,--,Dark,,,,59.0,1,1.0,64.66666666666667,14,6.0,67.66666666666667,7,1.6666666666666667,64.0,9,3.0,63.333333333333336,7,1.25,69.33333333333333,5,2.0,64.5,4,3.0,68.5,14,7.5,70.5,3,1.0,55.5,12,4.5
1,00I24W,180.0,Prop Damage (over),2021-01-02,23:25,23,23:11:00,--,Dark,,,,65.0,4,5.0,66.33333333333333,7,3.6666666666666665,65.0,9,4.0,70.5,4,0.75,64.0,6,2.0,69.0,5,1.75,66.5,9,5.5,70.5,4,3.5,70.0,3,1.0,57.0,5,3.5
1,00I24W,180.0,Prop Damage (over),2021-01-02,23:25,23,23:11:30,--,Dark,,,,62.5,6,10.0,66.33333333333333,15,7.0,67.0,9,4.0,68.0,16,3.5,60.0,4,0.75,69.0,11,3.0,67.0,4,1.5,68.0,4,1.5,71.0,1,0.5,56.5,5,1.5
1,00I24W,180.0,Prop Damage (over),2021-01-02,23:25,23,23:12:00,--,Dark,,,,59.0,2,8.333333333333334,67.33333333333333,11,4.0,65.0,18,5.666666666666667,68.33333333333333,12,5.0,65.0,18,4.0,68.25,18,4.75,67.5,7,2.5,69.0,7,6.0,,0,0.0,55.5,9,6.0
1,00I24W,180.0,Prop Damage (over),2021-01-02,23:25,23,23:12:30,--,Dark,,,,63.0,2,2.0,66.66666666666667,14,6.0,65.66666666666667,11,5.0,68.66666666666667,10,3.0,66.5,9,1.75,69.25,11,2.25,66.0,5,3.5,69.0,7,3.5,71.0,1,0.5,56.5,7,2.5
1,00I24W,180.0,Prop Damage (over),2021-01-02,23:25,23,23:13:00,--,Dark,,,,62.0,2,2.0,67.66666666666667,8,2.6666666666666665,59.0,2,2.0,69.33333333333333,8,1.5,63.0,12,3.75,69.25,10,3.0,64.5,7,3.0,68.5,13,7.0,69.0,2,1.0,54.5,14,10.0
1,00I24W,180.0,Prop Damage (over),2021-01-02,23:25,23,23:13:30,--,Dark,,,,66.0,3,3.0,66.0,4,2.6666666666666665,67.0,8,2.6666666666666665,65.5,17,5.0,63.666666666666664,9,2.75,67.0,7,1.5,65.0,12,6.5,69.0,5,2.5,69.5,4,1.5,57.0,4,1.5
1,00I24W,180.0,Prop Damage (over),2021-01-02,23:25,23,23:14:00,--,Dark,,,,63.0,4,4.0,67.0,9,5.333333333333333,64.0,14,5.666666666666667,67.5,8,1.5,62.333333333333336,12,2.5,68.75,18,4.75,62.0,7,6.5,67.0,5,5.5,,0,0.0,55.0,5,4.0
1,00I24W,180.0,Prop Damage (over),2021-01-02,23:25,23,23:14:30,--,Dark,,,,64.5,4,4.0,66.66666666666667,14,6.0,64.66666666666667,10,2.0,70.33333333333333,5,2.25,62.5,23,6.5,69.0,9,4.0,62.5,6,5.0,67.0,5,2.5,68.0,2,1.0,54.0,7,2.5
