incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
1,00I24E,179.9,Suspected Minor Injury,2021-02-05,05:28,5,05:13:00,--,Dark,56.0,11,2.8,55.5,11,14.0,59.0,6,2.0,61.333333333333336,4,2.5,64.33333333333333,4,1.5,66.0,10,2.0,56.5,16,5.142857142857143,59.8,8,1.6666666666666667,67.6,14,2.0,,,,58.666666666666664,13,10.333333333333334
1,00I24E,179.9,Suspected Minor Injury,2021-02-05,05:28,5,05:13:30,--,Dark,55.6,23,9.2,56.5,5,4.5,62.0,7,3.75,60.5,4,3.0,67.75,14,4.5,63.666666666666664,7,3.0,57.333333333333336,9,2.2857142857142856,62.0,12,3.3333333333333335,62.4,9,2.8333333333333335,,,,59.666666666666664,4,5.0
1,00I24E,179.9,Suspected Minor Injury,2021-02-05,05:28,5,05:14:00,--,Dark,57.75,9,1.8,57.5,3,4.0,57.666666666666664,10,6.75,60.333333333333336,6,4.0,64.0,8,1.75,65.0,5,1.25,58.666666666666664,11,4.428571428571429,59.6,9,2.6666666666666665,63.25,9,4.5,,,,58.333333333333336,7,7.0
1,00I24E,179.9,Suspected Minor Injury,2021-02-05,05:28,5,05:14:30,--,Dark,54.75,7,1.6,56.0,8,7.0,60.0,10,4.75,61.0,5,3.75,67.25,13,3.25,62.666666666666664,8,2.75,56.0,13,2.857142857142857,59.0,11,3.8333333333333335,61.8,9,3.6666666666666665,,,,59.0,2,0.3333333333333333
1,00I24E,179.9,Suspected Minor Injury,2021-02-05,05:28,5,05:15:00,--,Dark,57.6,8,1.8,57.0,5,3.0,58.5,5,2.5,62.0,5,2.0,66.25,19,5.0,61.0,8,2.75,55.6,9,2.7142857142857144,58.0,9,2.5,59.333333333333336,8,4.166666666666667,,,,58.0,6,7.666666666666667
1,00I24E,179.9,Suspected Minor Injury,2021-02-05,05:28,5,05:15:30,--,Dark,55.0,10,2.6,57.0,5,3.0,58.0,7,3.0,63.5,4,2.25,66.25,15,4.5,64.25,24,6.5,54.0,6,1.8571428571428572,55.75,7,3.8333333333333335,65.2,11,2.8333333333333335,,,,57.666666666666664,5,5.666666666666667
1,00I24E,179.9,Suspected Minor Injury,2021-02-05,05:28,5,05:16:00,--,Dark,56.0,10,3.8,,0,0.0,57.333333333333336,7,3.5,61.5,2,1.75,62.666666666666664,13,3.5,61.666666666666664,4,0.75,53.25,5,1.4285714285714286,57.4,14,4.666666666666667,62.5,13,2.8333333333333335,,,,55.666666666666664,9,5.666666666666667
1,00I24E,179.9,Suspected Minor Injury,2021-02-05,05:28,5,05:16:30,--,Dark,58.5,6,1.4,57.0,3,5.0,60.5,3,1.75,61.0,1,0.25,62.666666666666664,8,2.0,60.333333333333336,12,3.25,55.333333333333336,15,4.285714285714286,59.666666666666664,11,2.3333333333333335,61.0,8,2.0,,,,57.0,8,8.333333333333334
1,00I24E,179.9,Suspected Minor Injury,2021-02-05,05:28,5,05:17:00,--,Dark,54.0,10,6.2,57.5,7,5.5,58.25,13,6.5,62.75,5,1.75,64.25,8,2.25,65.75,6,1.75,56.166666666666664,13,3.7142857142857144,54.25,8,1.6666666666666667,60.25,10,2.6666666666666665,,,,54.666666666666664,15,16.666666666666668
1,00I24E,179.9,Suspected Minor Injury,2021-02-05,05:28,5,05:17:30,--,Dark,53.333333333333336,6,4.0,56.0,8,10.0,63.5,4,1.5,,0,0.25,59.0,2,0.25,61.666666666666664,5,1.0,55.833333333333336,8,2.4285714285714284,59.833333333333336,18,4.333333333333333,60.8,14,4.333333333333333,,,,54.666666666666664,6,4.0
