incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
1,SR153N,1.0,Prop Damage (over),2021-03-02,21:45,21,21:30:00,--,Dark,41.625,23,14.0,64.0,5,1.0,66.5,3,0.75,59.5,2,1.0,71.5,3,1.0,120.0,1,0.3333333333333333,62.0,3,3.5,,,,67.66666666666667,4,0.75,,0,0.0,,,
1,SR153N,1.0,Prop Damage (over),2021-03-02,21:45,21,21:30:30,--,Dark,39.857142857142854,22,9.375,62.25,4,1.0,66.33333333333333,5,2.75,,0,0.0,70.0,5,1.5,103.0,4,1.3333333333333333,,0,0.0,,,,69.5,5,1.0,,0,0.0,,,
1,SR153N,1.0,Prop Damage (over),2021-03-02,21:45,21,21:31:00,--,Dark,43.857142857142854,25,20.25,63.0,5,0.75,67.25,7,1.75,53.0,1,0.5,70.5,3,1.0,113.0,4,1.3333333333333333,,0,1.5,,,,70.0,10,2.0,,0,0.0,,,
1,SR153N,1.0,Prop Damage (over),2021-03-02,21:45,21,21:31:30,--,Dark,35.166666666666664,15,31.375,64.0,6,1.25,66.5,6,1.5,54.0,1,0.5,67.0,2,1.5,99.0,1,1.6666666666666667,,0,0.0,,,,71.0,4,0.75,,0,0.0,,,
1,SR153N,1.0,Prop Damage (over),2021-03-02,21:45,21,21:32:00,--,Dark,44.5,23,21.0,66.0,5,1.75,68.0,4,1.0,,0,0.0,66.0,2,0.5,108.0,3,1.0,,0,0.0,,,,66.75,4,1.0,,0,0.0,,,
1,SR153N,1.0,Prop Damage (over),2021-03-02,21:45,21,21:32:30,--,Dark,38.5,18,20.875,63.333333333333336,4,0.75,67.66666666666667,5,2.0,58.0,4,2.0,67.0,1,0.5,110.0,1,0.3333333333333333,,0,0.0,,,,66.0,3,0.5,,0,0.0,,,
1,SR153N,1.0,Prop Damage (over),2021-03-02,21:45,21,21:33:00,--,Dark,40.0,21,15.5,66.0,6,3.0,68.0,2,0.5,62.0,1,0.5,71.0,3,1.0,,0,0.0,50.0,3,4.75,,,,72.5,4,0.5,,0,0.0,,,
1,SR153N,1.0,Prop Damage (over),2021-03-02,21:45,21,21:33:30,--,Dark,49.166666666666664,11,18.375,65.0,5,1.0,67.5,3,1.25,57.0,3,2.0,74.0,1,0.5,108.0,5,1.6666666666666667,,0,0.0,,,,66.75,6,1.0,,0,0.0,,,
1,SR153N,1.0,Prop Damage (over),2021-03-02,21:45,21,21:34:00,--,Dark,40.375,12,23.5,62.333333333333336,11,4.5,67.0,1,1.25,59.0,2,1.0,66.0,3,0.5,113.0,2,0.6666666666666666,64.0,1,0.75,,,,68.0,6,1.0,,0,0.0,,,
1,SR153N,1.0,Prop Damage (over),2021-03-02,21:45,21,21:34:30,--,Dark,48.6,20,26.375,65.5,4,1.5,67.33333333333333,5,3.0,53.0,2,1.0,69.5,4,2.0,106.66666666666667,5,3.3333333333333335,,0,0.0,,,,59.0,1,0.25,,0,0.0,,,
