incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:44:00,--,Daylight,69.0,17,3.0,60.75,21,4.75,65.66666666666667,11,2.5,58.0,8,1.75,67.5,20,5.25,66.5,30,3.5,65.33333333333333,13,2.75,60.5,29,4.125,69.0,14,2.25,58.42857142857143,19,2.857142857142857,67.0,2,0.5
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:44:30,--,Daylight,67.75,16,3.0,61.25,16,4.75,65.0,14,3.25,65.0,10,1.5,69.5,14,2.75,66.25,30,3.0,64.5,17,3.75,60.5,25,2.375,68.75,16,5.0,58.333333333333336,23,3.7142857142857144,65.0,10,3.5
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:45:00,--,Daylight,70.5,22,4.75,61.5,23,7.5,65.0,17,4.25,66.0,5,0.75,67.0,14,2.75,66.42857142857143,32,3.75,66.0,17,3.0,61.142857142857146,29,3.125,69.5,14,3.5,58.57142857142857,26,3.857142857142857,65.0,8,3.0
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:45:30,--,Daylight,70.5,27,6.25,60.75,9,2.0,68.25,8,1.25,72.0,11,1.75,66.5,16,4.25,66.0,29,2.5,66.0,14,2.5,61.142857142857146,31,4.125,69.25,19,4.0,58.714285714285715,20,3.857142857142857,65.5,5,1.5
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:46:00,--,Daylight,69.0,21,4.75,59.75,14,4.0,67.5,12,3.0,75.0,7,1.0,68.75,23,5.5,66.14285714285714,25,4.0,65.25,16,2.75,61.285714285714285,36,4.625,69.5,20,3.75,54.4,19,3.142857142857143,63.5,9,4.0
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:46:30,--,Daylight,68.5,11,2.75,60.0,18,5.5,66.0,12,2.25,66.0,14,2.75,67.75,21,3.5,66.5,24,2.5,64.25,15,3.75,59.42857142857143,28,2.375,69.25,17,5.0,57.285714285714285,23,4.571428571428571,64.5,16,8.5
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:47:00,--,Daylight,68.5,22,4.5,59.25,16,4.25,60.333333333333336,13,2.25,58.5,12,2.25,61.5,6,2.0,65.5,36,3.875,66.33333333333333,12,2.0,61.57142857142857,35,4.5,70.5,13,2.5,56.42857142857143,31,8.0,65.5,10,3.5
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:47:30,--,Daylight,68.25,10,2.0,63.333333333333336,19,4.25,60.0,17,6.75,76.0,5,0.5,66.75,16,3.25,67.0,41,3.875,65.0,20,5.0,60.5,26,2.875,69.25,13,3.0,57.142857142857146,22,3.0,64.5,8,4.5
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:48:00,--,Daylight,69.25,18,4.0,60.25,26,6.25,62.333333333333336,8,1.5,65.33333333333333,10,1.5,64.25,14,2.75,64.375,34,3.375,64.5,15,2.5,59.5,30,4.125,69.5,15,2.75,57.142857142857146,45,7.857142857142857,66.0,17,9.0
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:48:30,--,Daylight,68.66666666666667,15,4.5,60.75,18,4.25,62.333333333333336,15,2.75,57.0,9,1.5,64.25,23,6.25,64.125,22,2.875,66.66666666666667,18,3.0,63.142857142857146,29,3.125,69.33333333333333,26,5.25,57.285714285714285,39,7.857142857142857,65.5,11,6.0
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:49:00,--,Daylight,67.5,15,3.25,59.75,20,5.0,65.5,14,2.75,66.33333333333333,7,1.0,64.75,19,4.25,65.14285714285714,34,3.125,64.0,20,3.25,60.5,36,3.375,69.0,15,3.5,58.666666666666664,28,4.857142857142857,68.5,8,3.5
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:49:30,--,Daylight,67.5,18,4.0,55.666666666666664,13,4.25,63.5,14,3.5,73.5,11,1.75,68.0,10,2.5,64.75,34,3.75,64.75,17,3.75,59.57142857142857,40,6.75,69.0,17,3.5,57.714285714285715,33,5.714285714285714,66.0,14,5.5
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:50:00,--,Daylight,71.0,9,1.5,61.25,14,6.75,65.25,14,4.0,61.5,7,1.0,64.75,19,3.75,64.75,32,3.75,65.5,11,2.0,59.0,21,3.125,67.5,15,3.25,57.666666666666664,17,3.4285714285714284,66.0,11,4.0
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:50:30,--,Daylight,70.0,12,3.25,59.0,15,4.75,63.0,12,2.75,62.0,9,1.5,64.75,16,4.0,65.75,45,4.875,64.5,10,1.75,57.166666666666664,29,2.75,67.75,19,5.75,56.42857142857143,27,4.428571428571429,68.0,11,3.5
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:51:00,--,Daylight,68.5,16,4.25,57.333333333333336,9,2.0,67.0,17,4.25,61.0,6,1.75,68.66666666666667,13,3.5,65.0,30,3.5,65.75,13,2.75,59.42857142857143,35,3.625,68.75,15,3.75,57.857142857142854,28,4.857142857142857,69.5,7,2.5
1,SR153S,2.3,Prop Damage (over),2021-03-24,13:59,13,13:51:30,--,Daylight,68.0,15,3.25,61.75,6,1.25,64.5,5,1.0,60.0,8,1.75,65.5,10,2.0,65.33333333333333,29,2.875,66.25,17,3.25,59.57142857142857,30,4.0,68.75,20,4.0,58.833333333333336,27,3.857142857142857,68.5,9,3.5
