incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
1,00I75N,4.3,Prop Damage (over),2021-04-05,15:12,15,14:57:00,--,Daylight,,,,59.625,35,5.0,61.5,28,8.0,63.5,26,10.5,57.0,15,9.0,67.33333333333333,4,4.0,63.5,22,7.75,60.75,21,7.75,69.75,18,5.6,64.0,30,4.4,71.25,17,2.8
1,00I75N,4.3,Prop Damage (over),2021-04-05,15:12,15,14:57:30,--,Daylight,,,,58.5,47,5.5,60.25,28,9.5,65.5,18,4.75,58.5,10,7.5,65.66666666666667,4,7.0,64.0,18,6.0,62.0,23,5.25,67.25,22,3.2,64.4,26,5.8,68.33333333333333,11,2.2
1,00I75N,4.3,Prop Damage (over),2021-04-05,15:12,15,14:58:00,--,Daylight,,,,59.125,50,8.125,63.25,22,4.5,63.0,12,3.75,55.0,7,5.0,65.33333333333333,6,14.333333333333334,66.25,21,5.5,62.25,23,5.5,70.0,20,5.4,65.8,25,4.8,65.0,27,7.2
1,00I75N,4.3,Prop Damage (over),2021-04-05,15:12,15,14:58:30,--,Daylight,,,,59.625,43,5.625,61.25,21,5.75,63.0,13,5.25,56.5,5,5.5,67.0,7,10.0,66.0,14,5.25,62.0,18,5.5,70.2,23,4.8,64.0,21,4.6,68.0,17,5.8
1,00I75N,4.3,Prop Damage (over),2021-04-05,15:12,15,14:59:00,--,Daylight,,,,61.875,52,6.375,62.5,28,10.25,66.0,18,9.25,59.5,4,1.5,67.0,3,3.0,64.75,24,9.25,62.25,32,8.5,70.0,19,3.8,67.2,23,4.6,68.5,13,3.4
1,00I75N,4.3,Prop Damage (over),2021-04-05,15:12,15,14:59:30,--,Daylight,,,,61.0,52,7.125,63.5,30,11.5,65.75,11,3.75,58.5,6,2.5,65.0,1,5.0,64.75,34,12.0,63.5,24,6.0,70.0,18,4.2,67.6,20,3.6,67.0,25,8.8
1,00I75N,4.3,Prop Damage (over),2021-04-05,15:12,15,15:00:00,--,Daylight,,,,63.5,42,4.625,62.75,22,7.25,65.5,15,5.5,57.5,11,14.0,,0,0.0,66.75,17,4.5,63.0,18,4.25,69.6,28,5.4,65.6,22,3.2,65.66666666666667,13,2.2
1,00I75N,4.3,Prop Damage (over),2021-04-05,15:12,15,15:00:30,--,Daylight,,,,62.375,41,5.5,61.75,30,7.25,66.33333333333333,6,1.5,59.5,3,3.0,65.0,5,5.0,66.25,28,8.0,63.5,25,5.5,70.8,18,2.8,65.4,15,2.6,67.8,14,3.2
1,00I75N,4.3,Prop Damage (over),2021-04-05,15:12,15,15:01:00,--,Daylight,,,,64.125,43,4.75,64.0,23,6.5,66.75,16,5.5,61.0,5,6.0,68.0,10,10.0,68.25,12,2.75,63.0,13,2.75,70.6,16,2.4,67.0,26,4.2,68.0,23,4.4
1,00I75N,4.3,Prop Damage (over),2021-04-05,15:12,15,15:01:30,--,Daylight,,,,62.625,49,5.625,65.25,18,3.5,64.5,15,4.5,58.0,11,6.5,66.0,6,6.0,67.0,21,6.5,63.25,28,8.0,69.4,21,4.6,66.0,30,6.6,69.2,21,3.6
1,00I75N,4.3,Prop Damage (over),2021-04-05,15:12,15,15:02:00,--,Daylight,,,,62.375,52,7.0,64.25,20,7.75,67.0,13,3.75,60.0,4,2.5,70.0,1,1.0,65.25,24,6.0,63.25,31,9.0,70.5,8,1.2,68.0,20,3.4,69.2,26,5.2
1,00I75N,4.3,Prop Damage (over),2021-04-05,15:12,15,15:02:30,--,Daylight,,,,63.625,48,7.0,63.5,26,6.25,67.75,11,3.5,49.0,1,0.5,71.0,1,1.0,65.0,29,11.0,61.5,26,8.25,71.8,19,3.4,68.2,17,2.6,70.0,19,3.2
