incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
0,00I75N,6.4,None,2021-01-25,16:00,16,15:45:00,Rain,Daylight,63.5,7,1.75,54.5,6,4.0,65.33333333333333,9,9.333333333333334,62.5,28,12.0,,,,71.6,26,4.6,69.75,16,2.2,70.4,27,4.4,70.5,25,9.0,67.0,31,12.25,68.75,15,2.1666666666666665
0,00I75N,6.4,None,2021-01-25,16:00,16,15:45:30,Rain,Daylight,64.75,21,6.25,57.0,5,2.0,63.0,2,2.0,61.5,12,4.5,,,,72.6,20,3.2,68.2,16,3.4,71.0,27,5.0,71.75,15,3.5,68.0,16,5.25,63.666666666666664,7,0.8333333333333334
0,00I75N,6.4,None,2021-01-25,16:00,16,15:46:00,Rain,Daylight,65.0,16,5.75,55.5,4,4.0,60.5,3,12.0,62.0,25,11.75,,,,71.8,26,4.6,69.0,20,4.2,71.4,19,2.4,68.66666666666667,16,4.75,67.25,15,5.5,64.75,28,5.166666666666667
0,00I75N,6.4,None,2021-01-25,16:00,16,15:46:30,Rain,Daylight,64.75,17,6.5,55.5,5,2.0,53.0,1,1.0,61.5,20,7.75,,,,68.75,17,4.6,69.8,31,4.4,70.75,11,2.8,70.0,25,5.75,66.25,24,10.25,66.0,31,6.833333333333333
0,00I75N,6.4,None,2021-01-25,16:00,16,15:47:00,Rain,Daylight,68.25,13,3.25,55.5,9,5.0,67.0,4,8.0,61.25,24,9.75,,,,71.6,33,7.2,67.75,16,4.2,71.75,11,2.8,70.25,17,4.75,68.25,18,6.0,63.2,18,3.3333333333333335
0,00I75N,6.4,None,2021-01-25,16:00,16,15:47:30,Rain,Daylight,65.5,22,6.75,54.0,6,3.5,65.0,4,8.0,61.5,21,6.25,,,,72.25,12,2.8,68.6,28,4.4,71.5,18,2.4,71.0,16,3.0,67.25,17,5.75,62.8,18,4.166666666666667
0,00I75N,6.4,None,2021-01-25,16:00,16,15:48:00,Rain,Daylight,68.0,14,5.0,61.0,9,4.5,73.0,1,1.0,62.5,15,3.5,,,,71.2,15,2.4,69.4,25,5.8,70.4,14,2.8,69.25,27,7.75,67.75,40,11.0,62.4,15,3.5
0,00I75N,6.4,None,2021-01-25,16:00,16,15:48:30,Rain,Daylight,68.75,19,6.5,56.5,6,3.0,70.0,5,5.0,62.0,27,8.75,,,,71.0,21,4.6,68.8,37,7.4,69.6,26,4.4,70.75,11,3.75,68.25,13,2.75,67.25,16,3.5
0,00I75N,6.4,None,2021-01-25,16:00,16,15:49:00,Rain,Daylight,66.0,11,3.25,50.0,11,6.5,67.0,4,8.333333333333334,63.0,29,8.5,,,,71.8,21,4.0,67.6,24,5.0,69.0,21,5.0,71.25,20,5.25,69.5,20,6.75,63.25,15,2.8333333333333335
0,00I75N,6.4,None,2021-01-25,16:00,16,15:49:30,Rain,Daylight,67.25,12,4.75,62.0,7,3.0,68.66666666666667,4,4.0,63.25,18,6.0,,,,70.8,21,4.0,68.4,19,3.6,71.5,29,5.6,70.5,16,5.0,68.0,18,5.5,64.0,32,5.166666666666667
0,00I75N,6.4,None,2021-01-25,16:00,16,15:50:00,Rain,Daylight,65.5,9,4.0,63.0,6,3.0,71.5,2,2.0,58.5,21,5.75,,,,71.5,16,3.8,67.2,15,2.0,69.2,17,3.0,70.0,18,4.0,68.75,14,4.0,64.0,22,4.166666666666667
0,00I75N,6.4,None,2021-01-25,16:00,16,15:50:30,Rain,Daylight,66.25,19,6.75,61.0,8,3.5,72.0,1,1.0,59.75,23,8.25,,,,72.2,11,1.6,67.6,18,3.0,68.8,14,3.6,70.0,18,6.0,69.25,30,11.0,65.4,29,5.666666666666667
