incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
0,00I75S,14.2,None,2021-03-05,08:55,8,08:40:00,--,Daylight,,,,68.0,9,3.5,64.5,8,11.0,67.0,18,11.5,66.0,18,12.0,65.5,21,11.0,70.0,29,4.25,66.0,8,4.5,61.5,10,7.5,62.666666666666664,15,5.25,,0,25.0
0,00I75S,14.2,None,2021-03-05,08:55,8,08:40:30,--,Daylight,,,,68.5,13,6.5,63.0,12,7.0,67.0,18,11.0,68.5,6,5.5,65.0,17,5.5,65.33333333333333,25,5.75,63.0,15,8.0,60.5,6,4.5,63.0,10,1.75,,0,25.0
0,00I75S,14.2,None,2021-03-05,08:55,8,08:41:00,--,Daylight,,,,64.0,9,7.0,63.0,7,5.0,65.0,11,8.5,65.0,8,6.5,62.0,21,10.5,70.0,15,3.5,66.0,12,4.0,57.0,12,7.0,64.0,12,6.75,,0,25.0
0,00I75S,14.2,None,2021-03-05,08:55,8,08:41:30,--,Daylight,,,,67.0,5,2.0,64.5,7,5.5,66.5,5,3.0,65.0,13,10.0,63.5,9,6.0,69.75,33,6.0,64.5,11,3.5,58.5,9,7.0,66.0,5,2.5,,0,25.0
0,00I75S,14.2,None,2021-03-05,08:55,8,08:42:00,--,Daylight,,,,62.0,7,6.5,61.5,14,9.5,63.5,6,3.0,,,,64.5,8,3.5,69.5,39,7.25,63.0,19,10.5,61.0,16,8.0,65.66666666666667,9,2.25,,0,0.0
0,00I75S,14.2,None,2021-03-05,08:55,8,08:42:30,--,Daylight,,,,61.5,11,7.0,64.0,8,7.5,64.5,11,7.0,,,,63.0,22,11.0,69.25,30,7.0,64.0,5,3.0,57.5,10,5.0,63.0,19,5.75,,0,25.0
0,00I75S,14.2,None,2021-03-05,08:55,8,08:43:00,--,Daylight,,,,68.0,12,5.0,61.0,11,5.5,61.0,13,10.0,,,,66.0,17,10.5,71.25,27,7.5,63.0,6,6.5,61.5,14,9.5,64.5,17,6.0,,0,0.0
0,00I75S,14.2,None,2021-03-05,08:55,8,08:43:30,--,Daylight,,,,66.5,10,3.5,58.5,10,10.0,64.0,3,3.0,65.5,12,2.5,63.0,18,10.5,69.5,25,5.0,63.0,14,7.0,62.0,9,4.0,62.0,9,5.0,,0,0.0
0,00I75S,14.2,None,2021-03-05,08:55,8,08:44:00,--,Daylight,,,,72.0,11,5.0,66.0,10,5.0,63.5,11,4.0,66.0,12,9.5,64.5,12,7.5,68.25,15,3.0,63.0,8,3.0,61.0,13,7.5,68.5,7,1.25,,0,0.0
0,00I75S,14.2,None,2021-03-05,08:55,8,08:44:30,--,Daylight,,,,72.0,8,4.0,67.0,14,6.0,63.0,8,4.0,66.0,30,10.5,64.0,7,2.5,70.75,38,6.75,63.0,9,8.0,60.5,7,3.5,64.75,15,3.25,,0,0.0
