incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
0,00I24W,178.5,None,2020-11-27,04:16,4,04:01:00,Rain,Dark,55.0,0011,10.25,64.0,0111,27.75,57.5,12,20.5,55.5,11,7.0,64.0,10,5.0,52.0,11,5.5,,00,0.0,67.0,34323,15246.6,56.0,1322,1337952.5,,,,68.0,01,0.5
0,00I24W,178.5,None,2020-11-27,04:16,4,04:01:30,Rain,Dark,57.5,1020,272.5,53.0,0010,10.0,57.5,11,5.5,54.0,10,15.0,,00,0.0,48.0,10,15.0,61.5,42,62.0,64.75,45024,17602.6,57.333333333333336,1120,860.0,,,,,00,0.0
0,00I24W,178.5,None,2020-11-27,04:16,4,04:02:00,Rain,Dark,58.333333333333336,1042,2530.75,61.0,0033,31.0,,00,0.0,53.0,20,15.0,,00,0.0,51.0,22,57.0,57.0,10,5.0,62.75,42054,14413.8,51.0,0010,2.5,,,,67.0,03,3.0
0,00I24W,178.5,None,2020-11-27,04:16,4,04:02:30,Rain,Dark,58.75,2222,893.25,65.25,1122,290.25,58.5,41,55.5,55.5,11,21.5,65.0,10,5.0,48.0,10,20.0,57.0,20,35.0,62.666666666666664,20013,10003.0,55.5,1211,17820.25,,,,,00,0.0
0,00I24W,178.5,None,2020-11-27,04:16,4,04:03:00,Rain,Dark,53.666666666666664,0111,32.75,,0000,0.0,59.0,61,121.0,54.5,53,114.5,,00,0.0,51.0,24,405.0,57.0,11,10.5,66.4,23144,10429.6,56.5,0101,51.25,,,,67.0,01,0.5
0,00I24W,178.5,None,2020-11-27,04:16,4,04:03:30,Rain,Dark,57.333333333333336,1110,310.0,57.0,0140,540.0,60.0,23,37.5,55.0,42,66.0,67.0,10,5.0,51.0,31,40.5,56.0,10,10.0,63.5,25130,3228.0,50.0,0030,62.5,,,,65.0,02,3.5
0,00I24W,178.5,None,2020-11-27,04:16,4,04:04:00,Rain,Dark,50.0,0210,32.5,50.0,0020,5.0,,00,0.0,,00,0.0,64.0,01,0.5,48.0,20,25.0,55.0,10,20.0,62.666666666666664,20011,6002.2,55.0,1010,267.5,,,,66.0,01,0.5
0,00I24W,178.5,None,2020-11-27,04:16,4,04:04:30,Rain,Dark,44.0,0010,2.5,50.0,0010,10.0,53.0,10,15.0,54.5,13,44.0,66.0,10,10.0,51.5,23,27.0,54.0,20,5.0,62.5,21044,4213.6,56.0,1101,1875.25,,,,67.0,01,2.0
0,00I24W,178.5,None,2020-11-27,04:16,4,04:05:00,Rain,Dark,58.0,1032,2532.75,65.5,1111,282.75,59.5,21,10.5,55.5,21,15.5,65.0,11,5.5,48.0,10,20.0,57.0,20,15.0,60.5,55000,19400.0,52.0,0021,12.0,,,,,00,0.0
0,00I24W,178.5,None,2020-11-27,04:16,4,04:05:30,Rain,Dark,56.0,1020,267.5,74.0,1001,250.25,,00,0.0,55.0,11,21.5,,00,0.0,48.0,10,20.0,58.5,21,25.5,59.0,10002,8000.4,58.5,1100,1625.0,,,,67.0,01,0.5
0,00I24W,178.5,None,2020-11-27,04:16,4,04:06:00,Rain,Dark,52.0,0026,21.25,63.0,0012,10.25,58.5,21,26.0,55.0,11,20.5,,00,0.0,54.0,44,92.5,58.0,40,40.0,66.6,74111,33222.2,,0000,0.0,,,,,00,0.0
0,00I24W,178.5,None,2020-11-27,04:16,4,04:06:30,Rain,Dark,50.0,0130,785.0,63.666666666666664,0131,775.25,58.5,32,61.0,,00,0.0,,00,0.0,,00,0.0,57.0,32,58.5,63.25,33032,6202.6,58.0,1200,950.0,,,,,00,0.0
0,00I24W,178.5,None,2020-11-27,04:16,4,04:07:00,Rain,Dark,54.0,0021,18.5,49.0,0020,12.5,,00,0.0,56.0,11,21.5,,00,0.0,53.0,27,53.5,59.0,20,35.0,65.66666666666667,12010,2802.0,57.0,0100,100.0,,,,67.0,01,0.5
0,00I24W,178.5,None,2020-11-27,04:16,4,04:07:30,Rain,Dark,57.0,2010,1252.5,59.0,2010,1252.5,59.0,25,42.0,55.5,42,76.5,64.0,10,15.0,53.5,42,81.0,,00,0.0,66.6,53522,17306.2,57.333333333333336,1120,1547.5,,,,67.0,02,2.0
0,00I24W,178.5,None,2020-11-27,04:16,4,04:08:00,Rain,Dark,53.0,0011,10.25,62.5,0034,33.5,59.5,22,20.5,56.5,14,56.0,,00,0.0,54.0,21,41.0,60.0,20,5.0,66.0,51064,82082.0,59.0,2110,36280.0,,,,67.0,02,2.5
0,00I24W,178.5,None,2020-11-27,04:16,4,04:08:30,Rain,Dark,60.0,0002,1.0,62.5,0012,7.75,54.0,20,45.0,52.0,10,5.0,,00,0.0,59.0,01,1.5,58.0,20,15.0,65.0,30024,10003.0,56.333333333333336,0113,48.75,,,,67.0,02,1.5
0,00I24W,178.5,None,2020-11-27,04:16,4,04:09:00,Rain,Dark,58.0,0103,25.5,65.0,0031,7.75,60.0,52,90.5,56.5,46,909.0,,00,0.0,,00,5.0,58.0,10,5.5,67.6,53124,28243.8,57.5,1020,2537.5,,,,67.0,02,1.5
0,00I24W,178.5,None,2020-11-27,04:16,4,04:09:30,Rain,Dark,53.666666666666664,0141,45.25,61.0,1160,2785.0,60.5,11,15.5,62.0,01,0.5,,00,0.0,59.0,01,0.5,59.5,21,51.0,63.0,21003,2201.4,56.666666666666664,1012,5202.75,,,,,00,0.0
0,00I24W,178.5,None,2020-11-27,04:16,4,04:10:00,Rain,Dark,58.25,1132,2780.25,64.66666666666667,0142,275.25,62.5,33,46.0,59.5,33,36.5,64.0,10,5.0,55.5,11,5.5,58.5,21,50.5,66.2,53234,192262.0,50.0,0020,40.0,,,,,00,0.0
0,00I24W,178.5,None,2020-11-27,04:16,4,04:10:30,Rain,Dark,54.666666666666664,0132,280.5,59.0,0150,302.5,62.5,21,10.5,57.0,25,24.0,63.0,10,5.0,55.0,36,42.0,58.5,43,58.0,64.5,15012,2402.2,59.666666666666664,3301,50250.25,,,,68.0,01,0.5
0,00I24W,178.5,None,2020-11-27,04:16,4,04:11:00,Rain,Dark,70.0,1000,250.0,,0000,0.0,55.0,10,5.0,59.0,21,10.5,64.0,10,5.0,52.0,42,75.5,61.0,10,5.0,62.5,26420,3686.0,58.5,2212,30346.0,,,,,00,0.0
0,00I24W,178.5,None,2020-11-27,04:16,4,04:11:30,Rain,Dark,57.0,0011,2.75,67.0,1111,352.75,62.5,41,60.5,58.0,35,607.5,64.0,10,5.0,52.5,11,32.5,59.0,41,25.5,66.5,40143,20031.4,53.5,0012,18.5,,,,70.0,03,4.0
0,00I24W,178.5,None,2020-11-27,04:16,4,04:12:00,Rain,Dark,69.0,0001,0.25,53.0,0010,5.0,71.0,01,0.5,63.0,01,0.5,,00,0.0,,00,0.0,59.0,50,60.0,67.6,33451,3190.2,57.333333333333336,1011,270.25,,,,68.0,01,0.5
0,00I24W,178.5,None,2020-11-27,04:16,4,04:12:30,Rain,Dark,56.666666666666664,0122,35.25,74.0,1001,250.25,,00,0.0,59.0,10,5.0,62.0,10,25.0,48.0,10,5.0,60.0,20,25.0,62.666666666666664,20042,4005.0,,0000,0.0,,,,,00,0.0
0,00I24W,178.5,None,2020-11-27,04:16,4,04:13:00,Rain,Dark,58.75,1141,570.5,55.0,0010,2.5,54.0,10,10.0,59.0,10,10.0,63.0,10,5.0,54.0,11,7.5,58.0,30,10.0,68.75,40121,4024.4,57.75,1131,15294.0,,,,,00,0.0
0,00I24W,178.5,None,2020-11-27,04:16,4,04:13:30,Rain,Dark,55.0,0100,100.0,65.0,1000,250.0,,00,0.0,62.0,12,20.5,64.0,10,5.0,61.0,01,0.5,61.5,22,10.5,64.75,56045,170062.0,61.666666666666664,1202,21502.5,,,,,00,0.0
0,00I24W,178.5,None,2020-11-27,04:16,4,04:14:00,Rain,Dark,57.666666666666664,0112,78.25,66.0,1311,385.25,54.0,10,20.0,,00,0.0,67.0,01,0.5,45.0,30,70.0,,00,0.0,67.8,73112,25023.0,,0000,0.0,,,,67.0,03,2.5
