incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
0,SR153N,1.4,None,2020-11-11,08:00,8,07:45:00,Rain,Daylight,63.75,33,8.0,64.25,20,8.0,63.5,10,4.5,71.5,4,1.5,106.0,19,7.666666666666667,60.0,5,11.25,,,,63.25,20,3.5,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:45:30,Rain,Daylight,62.25,39,12.25,65.5,16,4.25,62.5,12,5.0,71.5,7,1.5,107.0,8,3.6666666666666665,66.66666666666667,4,7.25,,,,63.25,20,3.75,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:46:00,Rain,Daylight,64.0,35,8.5,64.0,19,5.0,61.5,12,6.0,71.0,5,1.0,107.66666666666667,14,4.666666666666667,69.66666666666667,8,34.25,,,,67.25,14,2.75,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:46:30,Rain,Daylight,63.25,34,7.75,63.5,22,7.0,62.5,11,10.5,71.5,17,4.0,110.0,14,4.666666666666667,73.0,2,25.5,,,,66.75,22,4.0,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:47:00,Rain,Daylight,66.0,25,5.5,67.25,13,4.75,59.0,17,7.5,70.5,13,3.0,106.0,14,4.666666666666667,68.0,5,23.75,,,,65.75,24,4.25,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:47:30,Rain,Daylight,65.25,25,8.75,65.25,21,6.75,57.0,6,5.0,71.5,5,1.0,106.66666666666667,25,14.333333333333334,52.5,9,32.5,,,,65.5,18,4.25,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:48:00,Rain,Daylight,62.75,23,7.75,66.5,24,6.75,60.0,12,5.5,71.5,8,1.5,108.66666666666667,23,8.0,62.333333333333336,5,31.25,,,,68.66666666666667,9,1.5,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:48:30,Rain,Daylight,62.75,35,9.25,67.0,19,6.0,60.5,11,6.0,70.5,10,3.0,108.0,19,8.333333333333334,66.0,5,29.5,,,,66.25,17,3.0,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:49:00,Rain,Daylight,62.75,24,4.5,65.0,18,5.75,62.5,7,3.0,71.0,13,3.0,107.66666666666667,22,7.333333333333333,58.5,7,31.75,,,,66.25,15,2.75,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:49:30,Rain,Daylight,62.0,30,7.5,67.25,16,6.25,61.0,12,5.0,71.5,10,2.5,105.66666666666667,10,3.3333333333333335,61.333333333333336,3,29.0,,,,67.0,24,4.5,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:50:00,Rain,Daylight,61.0,45,14.0,65.0,21,7.0,63.5,9,5.0,69.0,8,2.0,110.0,12,4.666666666666667,61.0,5,6.25,,,,69.0,18,3.25,,0,0.0,81.5,2,0.6666666666666666,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:50:30,Rain,Daylight,63.25,33,9.0,65.5,10,4.5,62.5,16,7.0,70.0,12,2.5,108.33333333333333,22,7.333333333333333,61.0,5,30.0,,,,66.25,24,4.5,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:51:00,Rain,Daylight,60.25,32,9.75,67.75,11,4.0,60.5,10,5.0,66.5,13,3.0,104.33333333333333,13,4.333333333333333,39.0,5,25.25,,,,64.75,18,3.75,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:51:30,Rain,Daylight,62.25,17,5.0,67.5,25,8.0,61.0,7,5.0,68.5,6,1.0,105.33333333333333,25,8.333333333333334,41.0,6,12.5,,,,65.75,24,4.5,,0,0.0,81.0,1,0.3333333333333333,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:52:00,Rain,Daylight,61.5,39,10.5,65.25,18,6.0,61.5,5,3.0,67.5,8,1.5,98.33333333333333,17,5.666666666666667,52.0,6,25.5,,,,64.5,16,3.25,,0,0.0,82.0,1,0.3333333333333333,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:52:30,Rain,Daylight,61.25,21,5.5,66.25,10,3.5,62.0,14,7.5,67.0,8,1.5,102.33333333333333,19,6.333333333333333,57.0,5,5.75,,,,69.0,14,2.5,,0,0.0,,0,0.3333333333333333,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:53:00,Rain,Daylight,62.25,34,9.0,66.5,18,6.75,57.5,10,4.5,69.0,7,1.5,106.33333333333333,18,6.0,60.0,1,2.25,,,,64.0,23,4.5,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:53:30,Rain,Daylight,62.0,28,8.25,66.0,18,6.75,57.5,10,6.0,69.0,6,1.5,105.66666666666667,14,5.333333333333333,59.0,6,15.25,,,,65.33333333333333,12,2.0,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:54:00,Rain,Daylight,62.25,31,9.25,66.75,13,3.25,56.0,9,7.0,68.5,13,3.0,103.33333333333333,16,5.333333333333333,38.333333333333336,5,20.0,,,,64.75,18,3.5,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:54:30,Rain,Daylight,62.75,31,8.75,67.5,21,6.0,56.5,13,11.0,71.0,15,3.5,106.0,13,5.333333333333333,57.5,3,4.25,,,,63.25,29,6.5,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:55:00,Rain,Daylight,60.25,34,10.75,66.0,16,4.5,63.5,9,3.5,68.5,6,1.0,101.33333333333333,18,6.666666666666667,54.5,6,8.0,,,,66.0,16,2.75,,0,0.0,,0,0.0,,,
0,SR153N,1.4,None,2020-11-11,08:00,8,07:55:30,Rain,Daylight,61.75,18,5.25,66.0,12,3.75,57.5,10,5.0,70.5,5,1.0,104.66666666666667,17,8.333333333333334,48.25,5,22.5,,,,65.5,15,2.5,,0,0.0,,0,0.0,,,
