incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
0,SR153S,0.7,None,2021-01-12,06:40,6,06:25:00,--,Dark,65.33333333333333,12,3.5,59.142857142857146,22,4.25,58.5,13,3.0,51.857142857142854,27,10.375,60.333333333333336,7,1.25,51.75,6,0.7142857142857143,57.0,3,1.5,53.5,3,1.0,58.333333333333336,13,3.75,42.0,5,3.0,,,
0,SR153S,0.7,None,2021-01-12,06:40,6,06:25:30,--,Dark,56.666666666666664,5,1.0,60.142857142857146,22,3.125,59.5,14,5.25,62.4,14,13.75,64.0,6,0.75,61.0,6,0.7142857142857143,59.0,2,0.5,53.0,6,2.5,47.333333333333336,5,1.75,54.5,6,7.5,,,
0,SR153S,0.7,None,2021-01-12,06:40,6,06:26:00,--,Dark,59.5,3,0.75,62.2,12,1.25,62.333333333333336,8,1.25,59.6,10,13.375,63.0,10,2.25,59.4,12,2.0,53.5,4,3.0,54.0,2,0.5,50.0,9,2.0,53.0,4,2.0,,,
0,SR153S,0.7,None,2021-01-12,06:40,6,06:26:30,--,Dark,60.5,5,1.25,60.57142857142857,13,1.25,61.666666666666664,5,1.0,59.5,17,14.0,62.75,13,5.25,61.2,9,1.5714285714285714,53.5,4,1.5,53.5,3,1.0,55.0,6,1.5,42.0,4,2.0,,,
0,SR153S,0.7,None,2021-01-12,06:40,6,06:27:00,--,Dark,62.25,18,4.0,63.714285714285715,15,1.5,63.333333333333336,6,1.25,60.833333333333336,9,13.375,63.5,7,1.5,49.166666666666664,12,8.571428571428571,54.0,6,2.5,53.0,8,7.5,49.0,9,4.0,45.5,8,7.5,,,
0,SR153S,0.7,None,2021-01-12,06:40,6,06:27:30,--,Dark,61.0,13,2.5,62.142857142857146,15,1.25,63.0,8,1.25,60.0,18,14.375,63.333333333333336,7,1.0,42.0,9,13.428571428571429,54.0,8,3.0,54.0,3,1.0,56.25,14,5.75,55.0,9,4.0,,,
0,SR153S,0.7,None,2021-01-12,06:40,6,06:28:00,--,Dark,62.75,14,5.5,63.5,27,3.25,63.666666666666664,10,2.25,53.142857142857146,15,13.5,64.33333333333333,8,1.5,48.166666666666664,13,9.714285714285714,54.5,10,4.0,54.0,7,4.0,55.5,15,6.5,45.0,6,6.5,,,
0,SR153S,0.7,None,2021-01-12,06:40,6,06:28:30,--,Dark,66.0,10,3.25,59.833333333333336,14,1.375,57.0,6,1.0,63.0,15,13.875,65.0,9,1.75,53.5,18,11.714285714285714,54.0,4,1.5,,0,0.0,56.25,14,5.75,45.5,5,7.0,,,
0,SR153S,0.7,None,2021-01-12,06:40,6,06:29:00,--,Dark,63.5,3,0.75,65.5,5,0.75,60.0,3,1.5,53.125,27,16.375,65.25,7,1.0,63.25,7,15.428571428571429,62.0,1,0.5,54.5,4,1.5,55.333333333333336,7,2.0,47.0,4,2.5,,,
0,SR153S,0.7,None,2021-01-12,06:40,6,06:29:30,--,Dark,67.0,12,4.75,63.142857142857146,14,2.75,64.0,13,3.5,53.75,23,14.375,66.5,10,2.25,58.75,10,15.428571428571429,55.0,4,1.5,56.0,4,1.5,58.0,8,3.25,44.0,4,3.5,,,
