incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
0,00I24E,176.2,None,2021-04-01,13:12,13,12:57:00,--,Daylight,61.5,16,16.5,61.5,16,17.0,66.5,13,10.0,69.0,8,13.5,66.5,14,11.5,67.5,8,7.5,62.25,30,13.0,59.5,20,45.4,61.0,12,11.5,63.0,24,10.25,61.25,15,8.0
0,00I24E,176.2,None,2021-04-01,13:12,13,12:57:30,--,Daylight,63.0,10,12.5,61.5,12,13.5,66.0,16,9.5,68.5,12,13.0,66.5,8,8.0,68.5,8,8.0,59.0,17,6.0,60.0,16,44.4,59.0,14,17.5,63.75,21,11.0,63.75,13,7.0
0,00I24E,176.2,None,2021-04-01,13:12,13,12:58:00,--,Daylight,58.5,15,11.5,64.0,15,10.5,66.0,19,13.0,67.0,4,3.5,64.5,13,15.5,65.5,8,6.5,61.75,19,7.5,28.5,4,39.4,62.0,12,13.0,63.75,20,9.0,61.5,16,8.0
0,00I24E,176.2,None,2021-04-01,13:12,13,12:58:30,--,Daylight,60.0,9,16.0,62.0,11,11.5,68.0,8,2.5,69.5,6,6.5,64.5,8,15.5,67.0,6,6.0,62.25,34,12.0,61.0,14,45.2,60.0,9,10.0,63.75,25,9.5,61.0,12,6.75
0,00I24E,176.2,None,2021-04-01,13:12,13,12:59:00,--,Daylight,61.0,8,9.5,65.0,10,5.5,66.0,22,13.0,66.5,11,10.5,65.0,12,22.5,64.0,5,6.0,62.0,23,8.5,,,,59.5,14,15.5,63.0,11,4.75,62.0,8,2.75
0,00I24E,176.2,None,2021-04-01,13:12,13,12:59:30,--,Daylight,60.5,14,10.0,62.5,15,11.5,65.0,24,15.0,69.5,14,15.5,66.0,7,6.5,65.0,6,4.5,61.25,16,5.5,61.5,8,29.4,60.5,10,16.0,63.25,17,7.0,62.75,12,4.75
0,00I24E,176.2,None,2021-04-01,13:12,13,13:00:00,--,Daylight,62.0,6,5.5,63.0,6,6.5,67.0,15,6.5,69.5,10,6.5,60.5,16,13.0,65.0,10,6.0,63.5,21,8.0,48.666666666666664,20,25.8,59.0,6,8.0,62.25,16,6.5,62.25,14,7.75
0,00I24E,176.2,None,2021-04-01,13:12,13,13:00:30,--,Daylight,59.5,16,19.0,62.5,12,11.5,67.0,21,7.0,66.0,16,16.5,63.0,9,10.5,65.0,9,8.5,62.5,18,7.75,43.0,42,27.4,59.0,10,7.0,62.0,13,6.25,61.0,22,10.5
0,00I24E,176.2,None,2021-04-01,13:12,13,13:01:00,--,Daylight,61.0,22,15.0,61.0,17,8.5,64.5,11,7.5,71.0,9,10.0,59.5,10,13.5,66.5,9,7.0,61.5,27,11.25,38.666666666666664,17,44.2,58.0,12,14.0,61.5,19,6.75,63.5,10,3.25
0,00I24E,176.2,None,2021-04-01,13:12,13,13:01:30,--,Daylight,61.0,12,9.0,63.0,9,10.5,65.0,22,11.5,71.0,8,6.5,60.0,8,10.5,65.0,8,10.0,62.25,31,9.5,48.333333333333336,19,30.8,61.0,17,18.0,61.25,17,6.0,62.25,13,4.0
