incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
1,SR153S,2.8,Prop Damage (under),2020-11-24,07:24,7,07:09:00,--,Daylight,66.33333333333333,25,4.333333333333333,70.25,25,5.5,73.33333333333333,18,7.25,66.0,5,1.25,,,,70.66666666666667,8,1.75,63.333333333333336,18,2.375,,,,59.0,24,2.75,65.0,9,3.25,53.0,28,5.285714285714286
1,SR153S,2.8,Prop Damage (under),2020-11-24,07:24,7,07:09:30,--,Daylight,66.33333333333333,27,6.333333333333333,72.25,22,6.25,71.66666666666667,11,2.25,66.0,12,2.0,,,,66.66666666666667,7,1.0,63.0,25,2.75,,,,57.625,26,2.75,67.66666666666667,8,1.25,51.8,24,5.142857142857143
1,SR153S,2.8,Prop Damage (under),2020-11-24,07:24,7,07:10:00,--,Daylight,64.33333333333333,14,2.3333333333333335,70.0,18,3.75,70.33333333333333,14,3.0,64.5,4,0.5,,,,70.0,14,4.0,65.25,32,3.5,,,,54.166666666666664,24,3.875,62.0,9,2.25,49.6,13,3.7142857142857144
1,SR153S,2.8,Prop Damage (under),2020-11-24,07:24,7,07:10:30,--,Daylight,65.0,16,3.3333333333333335,69.5,13,2.5,73.0,3,0.75,66.33333333333333,3,0.75,,,,69.0,10,1.5,64.0,24,2.0,,,,54.666666666666664,21,3.375,65.0,10,2.25,55.5,20,3.7142857142857144
1,SR153S,2.8,Prop Damage (under),2020-11-24,07:24,7,07:11:00,--,Daylight,67.66666666666667,17,3.3333333333333335,70.5,18,3.25,72.0,13,2.5,66.0,8,1.75,,,,68.33333333333333,15,3.5,64.375,24,2.5,,,,57.42857142857143,18,1.75,66.5,12,2.25,56.2,17,2.7142857142857144
1,SR153S,2.8,Prop Damage (under),2020-11-24,07:24,7,07:11:30,--,Daylight,64.0,7,1.3333333333333333,68.66666666666667,5,1.0,66.75,15,5.25,65.33333333333333,11,1.75,,,,63.5,8,2.25,65.0,34,3.5,,,,60.5,28,3.75,66.33333333333333,9,3.0,51.714285714285715,18,5.0
1,SR153S,2.8,Prop Damage (under),2020-11-24,07:24,7,07:12:00,--,Daylight,64.66666666666667,20,4.333333333333333,68.0,21,5.25,68.66666666666667,21,6.0,65.0,7,1.0,,,,67.75,18,4.0,63.166666666666664,21,1.875,,,,57.285714285714285,19,1.875,69.0,12,2.75,55.666666666666664,21,4.285714285714286
1,SR153S,2.8,Prop Damage (under),2020-11-24,07:24,7,07:12:30,--,Daylight,66.0,18,3.6666666666666665,69.25,10,2.0,67.0,6,1.5,65.0,5,1.0,,,,70.0,7,1.75,63.0,21,2.0,,,,57.75,29,3.25,68.25,17,4.25,53.42857142857143,35,7.714285714285714
1,SR153S,2.8,Prop Damage (under),2020-11-24,07:24,7,07:13:00,--,Daylight,64.33333333333333,8,1.0,68.5,4,0.75,64.5,5,0.75,67.75,10,2.5,,,,67.33333333333333,12,2.5,65.66666666666667,15,2.0,,,,59.57142857142857,17,1.625,66.5,7,1.25,53.714285714285715,23,5.285714285714286
1,SR153S,2.8,Prop Damage (under),2020-11-24,07:24,7,07:13:30,--,Daylight,64.0,9,1.3333333333333333,68.0,9,2.75,66.33333333333333,13,4.5,64.33333333333333,13,2.75,,,,64.0,8,1.75,64.5,30,3.0,,,,57.285714285714285,31,3.875,68.0,10,1.5,56.166666666666664,18,2.7142857142857144
