incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
1,00I75N,3.1,Suspected Minor Injury,2020-12-18,13:05,13,12:50:00,--,Daylight,19.333333333333332,645,120576.33333333333,,0000,0.0,58.5,7518,4104.0,66.5,0011,16.25,63.0,6981112774,589111406.625,63.25,6688,11291.75,67.0,3333,1638.25,60.0,51,25.5,67.5,021,321.0,64.5,2476,27536.5,,,
1,00I75N,3.1,Suspected Minor Injury,2020-12-18,13:05,13,12:50:30,--,Daylight,19.333333333333332,467,197676.0,,0000,0.0,58.75,36412,15359.75,64.0,0030,72.5,64.0,49636684,4740810.375,63.25,6645,12842.0,67.5,3423,17855.75,60.0,53,26.0,66.0,111,131.0,64.75,10656,2421.25,,,
1,00I75N,3.1,Suspected Minor Injury,2020-12-18,13:05,13,12:51:00,--,Daylight,22.666666666666668,667,94374.0,,0000,0.0,58.25,6577,15546.25,63.666666666666664,0212,161.5,63.0,59575674,113959499.125,64.75,7955,15414.0,65.75,2447,12811.75,58.0,22,6.0,,000,0.0,64.5,2341,442.75,,,
1,00I75N,3.1,Suspected Minor Injury,2020-12-18,13:05,13,12:51:30,--,Daylight,18.333333333333332,662,47427.333333333336,,0000,0.0,57.5,11835,5183.25,61.666666666666664,0133,23127.5,63.375,65664871,60557643.875,64.25,9897,19529.0,64.5,3555,1199.0,60.0,61,27.5,64.33333333333333,123,456.3333333333333,64.25,7874,1723.25,,,
1,00I75N,3.1,Suspected Minor Injury,2020-12-18,13:05,13,12:52:00,--,Daylight,24.333333333333332,832,143808.0,,0000,0.0,58.0,4559,8544.0,63.333333333333336,0212,194.25,62.25,555531185,499165266.625,64.5,6776,15298.5,65.75,1383,4283.5,59.5,23,23.0,67.0,010,10.0,64.25,7745,22813.5,,,
1,00I75N,3.1,Suspected Minor Injury,2020-12-18,13:05,13,12:52:30,--,Daylight,23.0,759,12312.0,,0000,0.0,58.25,126710,32034.25,63.0,0321,466.75,62.75,599115831,9895128885.125,64.0,41164,128033.25,65.75,6452,15263.0,58.0,51,25.5,65.33333333333333,125,1205.0,64.75,1611,2752.75,,,
1,00I75N,3.1,Suspected Minor Injury,2020-12-18,13:05,13,12:53:00,--,Daylight,27.0,777,121940.66666666667,,0000,0.0,57.75,11363,6090.5,59.5,0110,3305.0,60.0,676651125,1140803942.875,63.75,6674,11275.75,64.75,2584,16536.0,60.0,42,30.5,66.0,112,478.6666666666667,65.0,6344,1743.5,,,
1,00I75N,3.1,Suspected Minor Injury,2020-12-18,13:05,13,12:53:30,--,Daylight,26.333333333333332,745,80711.33333333333,,0000,0.0,58.75,10857,30336.25,68.0,0001,0.75,60.625,697119656,6016101393.0,64.25,6854,203283.25,65.5,3323,905.75,51.0,50,20.0,62.0,100,600.0,64.0,4634,7785.75,,,
1,00I75N,3.1,Suspected Minor Injury,2020-12-18,13:05,13,12:54:00,--,Daylight,18.0,643,148154.66666666666,,0000,0.0,57.75,4338,906.5,67.0,0001,1.25,62.25,65688952,1392458897.625,62.5,1435,490.75,67.5,1354,338.5,60.5,22,20.5,62.0,010,47.333333333333336,63.25,6845,12811.0,,,
1,00I75N,3.1,Suspected Minor Injury,2020-12-18,13:05,13,12:54:30,--,Daylight,24.0,753,107577.33333333333,,0000,0.0,57.25,7657,8658.75,62.333333333333336,0232,474.0,62.875,14557893,5554499.0,63.75,11987,353784.0,66.25,1242,320.5,59.5,64,61.5,65.0,232,2072.0,63.5,47106,103796.5,,,
1,00I75N,3.1,Suspected Minor Injury,2020-12-18,13:05,13,12:55:00,--,Daylight,16.333333333333332,633,163676.33333333334,,0000,0.0,60.5,9746,2384.0,67.5,0042,31.75,63.875,5152512610,41891418.375,61.25,96105,21526.0,65.75,6855,2741.25,60.0,31,10.5,68.0,001,1.0,65.5,6763,19775.5,,,
