incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
1,00I24E,179.9,Prop Damage (over),2021-02-11,17:31,17,17:16:00,--,Daylight,54.4,32,11.2,57.0,13,16.0,58.0,23,13.0,63.75,22,11.25,61.75,33,8.0,61.75,34,6.5,56.714285714285715,36,9.714285714285714,61.166666666666664,25,6.833333333333333,56.2,28,7.0,,,,39.0,23,14.333333333333334
1,00I24E,179.9,Prop Damage (over),2021-02-11,17:31,17,17:16:30,--,Daylight,55.0,39,11.6,56.0,14,9.5,59.75,17,7.5,62.75,16,7.25,66.0,33,8.25,63.0,28,7.75,58.57142857142857,41,6.428571428571429,61.0,37,6.333333333333333,58.2,24,6.333333333333333,,,,38.0,25,16.333333333333332
1,00I24E,179.9,Prop Damage (over),2021-02-11,17:31,17,17:17:00,--,Daylight,56.0,40,9.8,52.5,10,13.0,60.0,16,7.25,62.75,22,8.25,59.75,38,12.0,56.5,41,11.25,54.0,44,10.285714285714286,57.333333333333336,36,8.166666666666666,57.0,27,11.333333333333334,,,,38.666666666666664,19,21.666666666666668
1,00I24E,179.9,Prop Damage (over),2021-02-11,17:31,17,17:17:30,--,Daylight,55.6,30,10.0,56.0,16,21.0,57.0,23,17.25,62.75,23,8.75,60.25,40,8.0,59.25,29,8.25,58.0,37,8.714285714285714,57.2,31,8.833333333333334,59.666666666666664,33,6.666666666666667,,,,40.333333333333336,17,23.333333333333332
1,00I24E,179.9,Prop Damage (over),2021-02-11,17:31,17,17:18:00,--,Daylight,58.0,39,8.8,53.5,10,11.0,59.75,22,8.5,63.25,13,4.75,59.75,36,9.0,58.0,37,8.0,57.0,37,5.428571428571429,53.2,27,10.833333333333334,52.2,33,12.166666666666666,,,,37.666666666666664,22,14.666666666666666
1,00I24E,179.9,Prop Damage (over),2021-02-11,17:31,17,17:18:30,--,Daylight,56.0,43,9.8,55.0,14,9.0,59.5,21,12.5,63.75,17,8.5,60.5,43,9.5,56.25,36,9.75,52.333333333333336,45,8.428571428571429,58.833333333333336,34,6.833333333333333,56.4,30,7.833333333333333,,,,33.0,24,24.666666666666668
1,00I24E,179.9,Prop Damage (over),2021-02-11,17:31,17,17:19:00,--,Daylight,57.0,26,8.2,58.5,13,14.5,57.5,23,10.75,66.0,13,5.5,60.25,33,6.5,58.75,37,8.75,54.0,52,12.571428571428571,55.666666666666664,33,9.166666666666666,51.8,28,13.166666666666666,,,,30.666666666666668,17,21.666666666666668
1,00I24E,179.9,Prop Damage (over),2021-02-11,17:31,17,17:19:30,--,Daylight,57.4,42,9.4,56.5,10,9.0,59.75,22,8.25,64.75,15,5.25,59.25,41,10.5,58.5,32,9.5,56.714285714285715,39,9.857142857142858,53.2,28,10.666666666666666,51.6,42,10.833333333333334,,,,39.666666666666664,21,26.333333333333332
1,00I24E,179.9,Prop Damage (over),2021-02-11,17:31,17,17:20:00,--,Daylight,58.6,36,11.4,55.5,15,13.0,58.25,23,12.75,63.0,15,7.75,60.25,43,7.5,59.5,33,5.5,52.0,42,12.285714285714286,54.0,31,8.5,50.6,28,11.666666666666666,,,,22.333333333333332,22,39.666666666666664
1,00I24E,179.9,Prop Damage (over),2021-02-11,17:31,17,17:20:30,--,Daylight,56.8,32,10.0,58.0,5,7.0,58.0,22,7.5,64.66666666666667,10,5.25,60.0,27,5.25,60.0,33,6.25,55.42857142857143,35,7.285714285714286,55.333333333333336,36,12.333333333333334,52.6,33,12.166666666666666,,,,26.666666666666668,19,31.0
