incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
1,00I75S,7.2,Prop Damage (over),2021-02-27,00:00,0,23:45:00,--,Dark,,,,67.0,1010,1.0,60.0,0110,1.5,80.0,0020,25.75,,,,64.0,002211,1.1666666666666667,68.0,0110,0.5,66.5,0220,1.5,64.0,121020,0.6666666666666666,62.666666666666664,01201,0.6,73.0,440,2.3333333333333335
1,00I75S,7.2,Prop Damage (over),2021-02-27,00:00,0,23:45:30,--,Dark,,,,,0000,0.0,57.0,0010,0.75,80.0,0010,26.0,,,,61.666666666666664,002110,0.8333333333333334,67.5,0220,1.5,68.33333333333333,0141,1.25,67.8,061251,1.8333333333333333,62.6,11411,2.0,72.66666666666667,122,1.0
1,00I75S,7.2,Prop Damage (over),2021-02-27,00:00,0,23:46:00,--,Dark,,,,61.5,0110,0.5,59.5,0110,1.0,44.0,0100,25.25,,,,61.0,010010,0.3333333333333333,73.66666666666667,1021,2.5,69.5,3221,2.5,67.16666666666667,311122,2.5,60.5,00402,2.2,72.33333333333333,131,2.6666666666666665
1,00I75S,7.2,Prop Damage (over),2021-02-27,00:00,0,23:46:30,--,Dark,,,,65.0,2330,2.25,,0000,0.0,62.0,0110,26.0,,,,61.0,010020,1.1666666666666667,70.25,2312,3.0,65.0,0110,0.5,66.4,160113,1.1666666666666667,62.666666666666664,14600,1.8,75.5,420,1.3333333333333333
1,00I75S,7.2,Prop Damage (over),2021-02-27,00:00,0,23:47:00,--,Dark,,,,67.0,2210,3.5,63.333333333333336,1110,0.75,63.0,0120,26.5,,,,63.25,100121,0.8333333333333334,67.5,0110,1.0,67.0,0020,1.0,67.16666666666667,221132,1.5,62.75,32301,2.0,75.0,130,1.0
1,00I75S,7.2,Prop Damage (over),2021-02-27,00:00,0,23:47:30,--,Dark,,,,64.66666666666667,0121,0.75,62.333333333333336,0331,2.25,64.5,0110,26.25,,,,,000000,0.0,70.0,1120,1.5,69.66666666666667,0121,2.5,64.0,321023,1.5,64.0,00110,0.4,73.5,130,2.0
1,00I75S,7.2,Prop Damage (over),2021-02-27,00:00,0,23:48:00,--,Dark,,,,,0000,0.0,,0000,0.0,80.0,0010,25.25,,,,59.5,000120,0.8333333333333334,67.0,0110,1.25,66.0,0210,0.5,68.0,100222,0.8333333333333334,60.0,00100,0.2,72.0,221,1.0
1,00I75S,7.2,Prop Damage (over),2021-02-27,00:00,0,23:48:30,--,Dark,,,,63.0,0200,1.25,55.0,0010,0.25,64.5,0110,25.5,,,,62.5,001030,1.3333333333333333,70.66666666666667,0211,0.75,65.5,0110,0.75,67.75,240130,1.6666666666666667,63.0,02201,1.6,71.0,340,2.3333333333333335
1,00I75S,7.2,Prop Damage (over),2021-02-27,00:00,0,23:49:00,--,Dark,,,,66.66666666666667,1220,2.5,62.333333333333336,0131,2.0,50.0,0200,26.25,,,,60.5,000120,0.6666666666666666,73.66666666666667,3011,1.0,69.33333333333333,1110,1.25,67.8,210255,1.8333333333333333,63.333333333333336,01101,0.6,68.0,020,2.6666666666666665
1,00I75S,7.2,Prop Damage (over),2021-02-27,00:00,0,23:49:30,--,Dark,,,,67.5,3144,2.5,63.0,0200,1.0,,0000,25.0,,,,65.0,010021,0.5,67.5,0210,1.25,70.0,0111,1.25,68.5,321123,1.5,63.666666666666664,12200,1.4,68.0,010,0.3333333333333333
1,00I75S,7.2,Prop Damage (over),2021-02-27,00:00,0,23:50:00,--,Dark,,,,,0000,0.0,62.0,0111,1.5,49.0,0100,0.5,,,,65.33333333333333,001101,0.5,71.0,0101,1.0,65.0,0100,1.0,63.25,120033,1.8333333333333333,62.666666666666664,01101,2.0,69.66666666666667,122,1.6666666666666667
