incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
1,00I75N,4.9,Prop Damage (over),2021-04-06,14:00,14,13:45:00,--,Daylight,64.5,37,4.125,64.0,13,4.25,64.0,15,4.5,56.5,10,7.5,60.0,1,6.333333333333333,67.5,11,3.0,63.75,14,3.5,70.0,31,5.6,67.8,23,4.6,69.0,15,4.4,66.66666666666667,10,5.0
1,00I75N,4.9,Prop Damage (over),2021-04-06,14:00,14,13:45:30,--,Daylight,64.25,53,8.0,62.75,34,9.0,64.75,11,5.0,59.0,8,3.5,66.0,5,10.0,67.25,13,4.0,64.0,10,2.5,70.4,22,4.6,66.25,9,3.2,66.66666666666667,10,4.0,70.5,11,3.0
1,00I75N,4.9,Prop Damage (over),2021-04-06,14:00,14,13:46:00,--,Daylight,64.875,54,7.75,64.5,23,7.75,67.0,14,4.0,58.0,3,1.5,66.5,5,6.0,66.0,21,8.25,65.25,25,7.0,70.75,7,0.8,66.2,12,1.8,70.0,7,1.6,68.33333333333333,13,2.75
1,00I75N,4.9,Prop Damage (over),2021-04-06,14:00,14,13:46:30,--,Daylight,64.75,50,6.625,64.5,22,6.75,65.5,16,6.5,57.5,5,2.5,66.66666666666667,5,5.0,67.25,16,5.0,66.0,17,4.0,70.2,14,2.0,66.4,32,5.6,68.33333333333333,13,2.2,70.75,13,4.0
1,00I75N,4.9,Prop Damage (over),2021-04-06,14:00,14,13:47:00,--,Daylight,65.5,40,6.125,61.25,25,11.0,66.5,14,5.75,59.0,10,7.5,68.0,5,7.666666666666667,64.5,26,11.75,63.0,14,4.0,70.8,21,4.2,66.6,19,3.4,70.5,18,6.8,69.75,24,6.25
1,00I75N,4.9,Prop Damage (over),2021-04-06,14:00,14,13:47:30,--,Daylight,65.0,49,9.25,63.0,30,12.0,68.0,17,6.5,58.0,5,2.0,64.5,3,4.333333333333333,64.0,18,6.75,62.75,15,5.0,70.75,15,2.6,67.4,7,1.0,69.75,24,5.0,66.33333333333333,13,2.5
1,00I75N,4.9,Prop Damage (over),2021-04-06,14:00,14,13:48:00,--,Daylight,64.75,51,6.0,64.0,17,6.0,66.0,9,3.0,52.0,3,3.0,66.66666666666667,3,7.666666666666667,66.0,15,3.25,64.75,11,3.75,69.5,12,2.2,65.2,17,3.4,69.25,9,1.8,69.5,8,1.5
1,00I75N,4.9,Prop Damage (over),2021-04-06,14:00,14,13:48:30,--,Daylight,65.125,56,9.375,62.5,18,5.25,65.0,14,7.0,61.5,5,6.0,66.0,4,7.666666666666667,63.75,17,4.25,62.0,23,5.0,69.8,15,3.6,66.0,20,4.2,69.5,8,1.2,67.33333333333333,11,3.75
1,00I75N,4.9,Prop Damage (over),2021-04-06,14:00,14,13:49:00,--,Daylight,64.125,44,7.625,62.0,26,9.75,65.5,16,5.0,58.5,9,5.0,65.0,6,10.666666666666666,64.25,27,9.25,63.5,11,3.5,71.4,11,3.0,65.6,21,5.2,67.75,16,3.6,69.25,23,7.0
1,00I75N,4.9,Prop Damage (over),2021-04-06,14:00,14,13:49:30,--,Daylight,63.875,44,6.25,63.25,31,8.5,65.5,22,8.5,50.0,7,4.5,67.0,1,1.0,65.5,21,10.25,63.5,16,6.0,70.2,19,5.2,65.5,14,2.6,66.75,17,3.6,68.0,10,3.75
