incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:45:00,--,Daylight,91.33333333333333,27,11.666666666666666,,0,0.0,,,,65.33333333333333,13,2.25,,0,0.0,,0,0.0,71.25,14,2.5,69.33333333333333,12,3.0,59.0,26,4.0,63.666666666666664,18,3.25,62.0,18,5.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:45:30,--,Daylight,104.33333333333333,16,5.333333333333333,,0,0.0,,,,65.5,18,3.5,,0,0.0,,0,0.0,69.33333333333333,15,3.5,70.0,16,4.0,60.0,26,4.0,67.25,31,5.25,63.5,10,4.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:46:00,--,Daylight,103.0,14,5.666666666666667,,0,0.0,,,,67.0,15,2.75,,0,0.0,,0,0.0,70.0,10,2.0,68.66666666666667,19,6.0,60.25,24,3.5,67.0,27,5.0,59.5,13,4.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:46:30,--,Daylight,95.0,18,6.0,,0,0.0,,,,63.25,15,3.5,,0,0.0,,0,0.0,68.0,16,3.75,68.0,18,5.0,59.0,21,3.0,66.25,14,3.0,61.5,14,4.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:47:00,--,Daylight,108.33333333333333,9,3.0,,0,0.0,,,,63.0,36,6.5,,0,0.0,,0,0.0,71.25,14,2.75,68.33333333333333,10,2.6666666666666665,58.0,23,4.0,67.25,14,2.25,62.0,21,5.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:47:30,--,Daylight,108.0,11,3.6666666666666665,,0,0.0,,,,65.0,20,3.25,,0,0.0,,0,0.0,71.25,10,1.75,67.0,13,3.3333333333333335,59.0,28,5.0,66.75,12,2.75,59.5,21,6.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:48:00,--,Daylight,106.66666666666667,19,6.333333333333333,,0,0.0,,,,65.5,10,2.5,,0,0.0,,0,0.0,67.33333333333333,18,6.25,67.66666666666667,18,5.333333333333333,58.5,29,5.0,68.0,25,6.0,60.5,13,4.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:48:30,--,Daylight,110.33333333333333,13,7.666666666666667,,0,0.0,,,,65.75,25,4.75,,0,0.0,,0,0.0,72.75,11,3.0,69.0,12,2.6666666666666665,58.0,14,2.5,67.75,25,5.0,61.5,6,1.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:49:00,--,Daylight,101.0,17,6.333333333333333,,0,0.0,,,,66.0,16,3.5,,0,0.0,,0,0.0,69.75,12,2.75,67.33333333333333,11,2.6666666666666665,58.75,43,7.0,67.5,35,6.25,59.0,15,3.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:49:30,--,Daylight,102.33333333333333,24,10.333333333333334,,0,0.0,,,,68.33333333333333,18,3.0,,0,0.0,,0,0.0,69.5,12,2.75,66.66666666666667,37,12.333333333333334,58.5,19,3.0,68.25,9,1.5,59.0,19,8.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:50:00,--,Daylight,105.66666666666667,8,2.6666666666666665,,0,0.0,,,,64.75,29,5.75,,0,0.0,,0,0.0,70.75,15,2.75,68.0,22,5.666666666666667,59.75,19,2.75,67.0,11,2.5,62.0,14,4.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:50:30,--,Daylight,105.66666666666667,16,5.333333333333333,,0,0.0,,,,65.0,26,5.5,,0,0.0,,0,0.0,71.0,16,2.75,67.33333333333333,11,3.3333333333333335,59.25,31,6.0,67.25,34,6.0,61.0,11,2.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:51:00,--,Daylight,107.33333333333333,15,6.0,,0,0.0,,,,67.25,17,3.0,,0,0.0,,0,0.0,69.33333333333333,12,3.25,67.66666666666667,17,5.666666666666667,59.0,28,4.25,66.25,20,3.5,61.5,17,4.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:51:30,--,Daylight,108.0,21,7.333333333333333,,0,0.0,,,,65.0,20,4.0,,,,,0,0.0,71.25,19,5.0,69.0,15,4.0,59.5,27,4.5,66.5,22,5.0,63.0,14,6.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:52:00,--,Daylight,103.0,19,7.333333333333333,,0,0.0,,,,68.75,18,3.75,,0,0.0,,0,0.0,67.33333333333333,13,2.0,69.33333333333333,14,3.3333333333333335,55.75,30,5.0,66.25,23,4.0,64.0,21,5.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:52:30,--,Daylight,107.0,11,7.0,,0,0.0,,,,67.25,9,1.25,,0,0.0,,0,0.0,66.33333333333333,13,3.0,67.66666666666667,21,5.0,57.0,33,5.75,66.5,19,3.75,63.0,17,4.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:53:00,--,Daylight,106.0,20,6.666666666666667,,0,0.0,,,,68.0,18,3.25,,0,0.0,,0,0.0,73.75,12,2.0,71.66666666666667,11,2.3333333333333335,58.75,25,3.5,66.25,21,4.0,61.5,11,3.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:53:30,--,Daylight,106.33333333333333,10,3.3333333333333335,,0,0.0,,,,67.5,26,5.0,,0,0.0,,0,0.0,69.66666666666667,9,1.5,70.66666666666667,12,2.6666666666666665,55.75,29,4.5,66.0,24,4.25,61.5,16,4.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:54:00,--,Daylight,108.66666666666667,16,5.333333333333333,,0,0.0,,,,67.5,12,2.25,,0,0.0,,0,0.0,67.0,12,3.25,72.0,13,3.0,61.75,17,2.5,65.75,13,2.25,60.5,9,2.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:54:30,--,Daylight,104.66666666666667,13,4.333333333333333,,0,0.0,,,,68.25,20,4.25,,,,,0,0.0,65.0,9,1.5,70.33333333333333,14,4.333333333333333,61.0,27,4.25,66.75,22,4.0,60.5,15,5.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:55:00,--,Daylight,109.0,10,4.333333333333333,,0,0.0,,,,67.5,18,3.25,,0,0.0,,0,0.0,70.75,12,3.0,68.66666666666667,19,6.0,62.0,31,5.5,67.5,16,2.5,54.5,26,9.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:55:30,--,Daylight,109.33333333333333,15,8.0,,0,0.0,,,,66.5,26,5.0,,0,0.0,,0,0.0,68.0,14,4.25,72.0,18,6.0,61.5,33,5.25,66.25,23,4.5,58.5,9,3.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:56:00,--,Daylight,109.66666666666667,12,4.0,,0,0.0,,,,68.0,20,3.5,,0,0.0,,0,0.0,67.33333333333333,11,2.0,70.33333333333333,19,6.333333333333333,58.25,41,7.0,67.0,25,5.0,58.5,17,5.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:56:30,--,Daylight,105.0,8,2.6666666666666665,,0,0.0,,,,67.75,21,5.0,,0,0.0,,0,0.0,65.33333333333333,15,3.5,68.66666666666667,22,6.0,60.25,14,2.5,67.33333333333333,9,1.5,59.0,13,3.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:57:00,--,Daylight,108.66666666666667,21,7.333333333333333,,0,0.0,,,,69.66666666666667,14,2.25,,0,0.0,,0,0.0,70.0,12,2.25,69.0,12,4.666666666666667,58.5,29,4.75,66.33333333333333,9,2.5,60.0,13,3.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:57:30,--,Daylight,110.66666666666667,18,6.666666666666667,,0,0.0,,,,66.75,7,1.25,,0,0.0,,0,0.0,67.66666666666667,11,3.0,70.33333333333333,8,2.0,58.5,34,5.0,67.0,18,3.0,58.0,11,3.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:58:00,--,Daylight,104.0,7,2.6666666666666665,,0,0.0,,,,69.33333333333333,16,2.75,,0,0.0,,0,0.0,74.5,8,2.5,68.33333333333333,14,4.333333333333333,58.5,21,4.5,67.25,12,2.75,57.0,8,2.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:58:30,--,Daylight,107.66666666666667,22,9.0,,0,0.0,,,,68.25,18,4.5,,0,0.0,,0,0.0,67.33333333333333,16,2.5,67.66666666666667,16,4.666666666666667,59.0,18,3.5,67.5,10,2.0,59.5,24,8.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:59:00,--,Daylight,105.0,16,5.333333333333333,,0,0.0,,,,66.75,18,4.0,,0,0.0,,0,0.0,68.33333333333333,13,2.25,68.0,21,7.666666666666667,59.0,22,3.75,67.0,16,2.5,61.0,22,8.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,07:59:30,--,Daylight,105.66666666666667,11,4.0,,0,0.0,,,,67.5,18,3.0,,0,0.0,,0,0.0,70.0,12,4.0,69.0,17,4.666666666666667,57.25,28,4.5,67.5,18,4.0,62.0,14,4.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,08:00:00,--,Daylight,105.0,13,4.333333333333333,,0,0.0,,,,66.25,13,2.75,,0,0.0,,0,0.0,69.0,12,2.0,68.66666666666667,20,6.0,57.5,33,5.75,65.25,17,3.0,62.0,11,2.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,08:00:30,--,Daylight,107.0,11,3.6666666666666665,,0,0.0,,,,66.75,14,5.25,,0,0.0,,0,0.0,73.25,17,3.0,67.0,15,4.0,58.0,20,3.25,67.25,16,3.0,61.5,7,2.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,08:01:00,--,Daylight,105.33333333333333,11,4.0,,0,0.0,,,,69.0,4,0.75,,0,0.0,,0,0.0,67.33333333333333,17,4.5,67.0,18,6.0,60.0,25,3.5,68.25,12,2.0,65.0,15,3.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,08:01:30,--,Daylight,105.66666666666667,19,7.0,,0,0.0,,,,65.5,17,3.0,,0,0.0,,0,0.0,71.75,15,3.75,60.5,7,3.0,58.25,26,3.5,66.25,19,3.25,63.5,12,3.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,08:02:00,--,Daylight,106.33333333333333,14,6.333333333333333,,0,0.0,,,,66.0,25,4.5,,0,0.0,,0,0.0,71.25,6,1.75,68.66666666666667,10,2.0,58.5,22,4.25,66.75,15,3.25,61.5,11,4.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,08:02:30,--,Daylight,106.66666666666667,15,5.0,,0,0.0,,,,67.25,10,1.75,,0,0.0,,0,0.0,67.66666666666667,11,2.0,67.0,10,3.3333333333333335,58.5,14,4.25,67.5,11,3.0,64.5,14,4.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,08:03:00,--,Daylight,109.33333333333333,11,3.6666666666666665,,0,0.0,,,,68.33333333333333,8,1.25,,,,,0,0.0,72.75,16,3.0,68.33333333333333,13,3.0,59.0,19,2.75,67.5,11,2.0,56.0,25,8.5
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,08:03:30,--,Daylight,107.66666666666667,23,8.0,,0,0.0,,,,64.75,12,2.5,,0,0.0,,0,0.0,68.33333333333333,8,1.5,69.0,6,1.3333333333333333,58.5,34,5.25,65.5,25,4.5,59.5,14,4.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,08:04:00,--,Daylight,105.33333333333333,19,7.666666666666667,,0,0.0,,,,66.0,26,4.5,,0,0.0,,0,0.0,65.5,7,1.25,67.66666666666667,12,5.0,58.25,25,3.75,68.75,17,2.75,58.0,7,2.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,08:04:30,--,Daylight,109.0,8,2.6666666666666665,,0,0.0,,,,65.75,17,2.75,,0,0.0,,0,0.0,68.33333333333333,11,2.5,69.0,20,5.666666666666667,59.0,17,2.5,66.0,15,2.5,57.0,15,4.0
1,SR153N,3.4,Prop Damage (over),2021-04-16,08:00,8,08:05:00,--,Daylight,109.5,7,2.6666666666666665,,0,0.0,,,,69.66666666666667,10,1.75,,0,0.0,,0,0.0,70.0,13,2.5,68.66666666666667,16,5.0,58.5,24,5.25,67.25,13,3.25,59.0,14,5.5
