incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
0,SR153S,1.5,None,2020-11-09,05:20,5,05:05:00,--,Dark,67.0,2,0.25,,,,66.0,2,0.5,,0,0.125,58.0,2,1.25,53.42857142857143,13,2.0,60.0,1,0.25,66.5,3,0.42857142857142855,69.0,1,0.5,,0,0.0,50.333333333333336,8,3.75
0,SR153S,1.5,None,2020-11-09,05:20,5,05:05:30,--,Dark,65.5,2,0.5,,,,,0,0.0,61.8,7,1.375,66.33333333333333,7,1.75,54.333333333333336,3,0.375,66.0,2,0.5,57.0,4,0.7142857142857143,67.0,3,1.0,60.5,2,2.0,50.0,3,0.5
0,SR153S,1.5,None,2020-11-09,05:20,5,05:06:00,--,Dark,67.0,2,0.25,,,,,0,0.0,61.6,10,1.0,62.0,3,0.5,58.0,1,0.125,60.0,1,0.25,56.25,7,1.0,,0,0.0,58.0,4,1.5,46.0,2,0.5
0,SR153S,1.5,None,2020-11-09,05:20,5,05:06:30,--,Dark,65.0,2,0.5,,,,71.0,2,0.25,60.833333333333336,7,0.75,59.0,1,0.25,57.833333333333336,9,1.0,64.5,7,1.75,54.6,8,1.5714285714285714,67.0,1,0.5,,0,0.0,50.0,3,1.75
0,SR153S,1.5,None,2020-11-09,05:20,5,05:07:00,--,Dark,66.0,1,0.25,,,,61.5,2,1.25,66.5,4,0.375,60.0,1,0.25,44.0,1,0.125,,0,0.0,56.666666666666664,4,0.5714285714285714,,0,0.0,59.0,1,0.5,49.0,8,3.25
0,SR153S,1.5,None,2020-11-09,05:20,5,05:07:30,--,Dark,65.66666666666667,3,1.5,,,,66.5,2,0.5,72.0,1,0.125,65.0,1,0.25,59.6,7,0.75,60.0,1,0.25,52.0,5,1.1428571428571428,,0,0.0,59.0,2,3.0,48.666666666666664,7,1.25
0,SR153S,1.5,None,2020-11-09,05:20,5,05:08:00,--,Dark,66.5,2,0.5,,,,71.0,2,1.25,,0,0.0,66.66666666666667,3,1.5,51.666666666666664,4,1.0,,0,0.0,61.0,5,1.0,,0,0.0,,0,0.0,49.0,4,0.75
0,SR153S,1.5,None,2020-11-09,05:20,5,05:08:30,--,Dark,66.5,3,0.5,,,,62.0,2,0.25,63.0,5,0.75,63.666666666666664,4,0.75,52.666666666666664,3,0.5,67.0,1,0.25,58.0,5,0.8571428571428571,66.5,2,1.0,60.5,2,1.0,50.666666666666664,4,1.5
0,SR153S,1.5,None,2020-11-09,05:20,5,05:09:00,--,Dark,,0,0.0,,,,,0,0.0,63.833333333333336,8,1.375,63.666666666666664,3,0.75,49.75,7,0.875,,0,0.0,60.0,1,0.14285714285714285,,0,0.0,60.0,2,0.5,46.0,3,0.5
0,SR153S,1.5,None,2020-11-09,05:20,5,05:09:30,--,Dark,67.0,2,0.25,,,,65.5,3,0.5,64.0,5,0.625,,0,0.0,52.333333333333336,8,1.375,63.666666666666664,4,0.75,54.5,6,1.0,,0,0.0,,0,0.0,48.333333333333336,6,1.0
0,SR153S,1.5,None,2020-11-09,05:20,5,05:10:00,--,Dark,69.0,3,0.75,,,,64.5,2,1.25,65.5,2,0.25,66.0,2,0.5,55.166666666666664,10,1.125,66.66666666666667,6,1.75,59.0,7,1.2857142857142858,,0,0.0,,0,0.0,51.666666666666664,6,2.25
0,SR153S,1.5,None,2020-11-09,05:20,5,05:10:30,--,Dark,,0,0.0,,,,62.0,2,0.5,62.166666666666664,10,1.125,67.33333333333333,6,1.5,57.5,5,0.75,60.0,1,0.25,61.0,4,0.8571428571428571,,0,0.0,59.0,2,2.5,51.666666666666664,5,2.5
0,SR153S,1.5,None,2020-11-09,05:20,5,05:11:00,--,Dark,66.0,5,1.5,,,,63.0,5,1.0,64.4,5,0.875,63.0,2,1.0,58.0,3,0.375,63.5,2,0.5,60.666666666666664,5,0.7142857142857143,67.0,1,1.5,,0,0.0,49.333333333333336,4,1.0
0,SR153S,1.5,None,2020-11-09,05:20,5,05:11:30,--,Dark,65.0,1,0.25,,,,67.0,4,1.5,65.0,3,0.875,62.0,1,0.25,54.75,5,0.5,69.5,4,1.0,62.0,5,0.7142857142857143,,0,0.0,59.0,2,1.0,48.666666666666664,6,1.0
0,SR153S,1.5,None,2020-11-09,05:20,5,05:12:00,--,Dark,66.5,6,1.5,,,,62.0,1,0.75,62.4,8,1.25,60.5,4,1.0,58.0,9,1.0,61.0,4,1.5,65.0,4,0.8571428571428571,65.0,1,0.5,57.0,1,0.5,50.0,10,5.25
0,SR153S,1.5,None,2020-11-09,05:20,5,05:12:30,--,Dark,,0,0.0,,,,68.0,6,1.75,60.0,6,1.0,61.5,3,0.5,61.4,10,1.5,65.33333333333333,4,1.5,55.333333333333336,5,1.1428571428571428,69.0,2,1.5,,0,0.0,52.666666666666664,4,1.0
0,SR153S,1.5,None,2020-11-09,05:20,5,05:13:00,--,Dark,65.33333333333333,5,1.0,,,,72.0,3,0.5,63.6,8,1.25,,0,0.0,58.6,8,0.75,63.333333333333336,4,0.75,56.75,6,1.0,67.0,3,1.0,61.0,4,2.5,51.5,10,4.5
0,SR153S,1.5,None,2020-11-09,05:20,5,05:13:30,--,Dark,66.33333333333333,3,1.5,,,,68.33333333333333,6,1.0,64.0,4,0.375,65.75,6,2.25,56.666666666666664,9,1.25,57.5,4,1.25,56.5,7,1.0,70.0,1,0.5,62.0,3,4.5,53.0,5,1.5
0,SR153S,1.5,None,2020-11-09,05:20,5,05:14:00,--,Dark,68.0,2,0.5,,,,65.5,3,0.5,63.5,2,0.25,65.66666666666667,7,1.5,56.714285714285715,13,2.375,62.75,7,2.25,59.666666666666664,6,1.1428571428571428,68.0,1,0.5,60.0,2,3.0,49.75,10,3.5
0,SR153S,1.5,None,2020-11-09,05:20,5,05:14:30,--,Dark,67.5,3,0.5,,,,65.0,3,0.5,63.142857142857146,11,2.125,61.5,4,1.5,54.666666666666664,4,0.625,64.0,1,0.25,55.5,6,2.2857142857142856,,0,0.0,58.5,4,2.5,51.25,13,2.75
0,SR153S,1.5,None,2020-11-09,05:20,5,05:15:00,--,Dark,68.0,1,0.25,,,,68.5,6,1.25,63.2,6,1.0,66.5,6,1.0,57.75,8,1.125,52.0,2,0.25,59.333333333333336,15,2.4285714285714284,68.0,1,0.5,,0,0.0,48.666666666666664,5,1.0
0,SR153S,1.5,None,2020-11-09,05:20,5,05:15:30,--,Dark,67.0,1,0.5,,,,70.0,3,0.75,62.666666666666664,8,1.25,63.0,1,0.25,58.2,10,1.625,62.666666666666664,8,3.0,56.8,6,1.1428571428571428,66.0,1,0.5,60.0,1,0.5,49.25,9,3.0
