incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
0,00I24E,179.9,None,2021-03-30,12:00,12,11:45:00,Rain,Daylight,57.8,31,7.8,39.0,7,8.5,62.25,17,5.5,62.75,13,6.25,63.5,46,10.75,62.75,37,6.75,57.42857142857143,42,11.142857142857142,57.8,40,10.833333333333334,63.166666666666664,39,6.833333333333333,,,,48.666666666666664,13,6.0
0,00I24E,179.9,None,2021-03-30,12:00,12,11:45:30,Rain,Daylight,56.0,30,8.6,41.5,5,3.0,62.75,18,7.75,62.25,17,7.0,62.25,37,8.5,63.75,40,8.5,58.857142857142854,47,10.285714285714286,61.333333333333336,27,5.5,64.33333333333333,28,7.833333333333333,,,,48.0,18,11.333333333333334
0,00I24E,179.9,None,2021-03-30,12:00,12,11:46:00,Rain,Daylight,59.4,36,8.4,39.0,8,7.0,62.25,15,10.25,64.75,15,7.25,66.5,26,4.0,64.5,36,6.5,57.142857142857146,56,11.714285714285714,57.5,40,10.666666666666666,62.166666666666664,40,12.166666666666666,,,,41.666666666666664,26,29.333333333333332
0,00I24E,179.9,None,2021-03-30,12:00,12,11:46:30,Rain,Daylight,57.6,30,7.2,40.5,9,12.0,63.0,19,7.0,63.333333333333336,14,4.75,65.25,31,6.25,64.0,36,5.75,57.714285714285715,49,11.142857142857142,58.833333333333336,56,12.0,63.166666666666664,40,10.833333333333334,,,,51.666666666666664,19,15.666666666666666
0,00I24E,179.9,None,2021-03-30,12:00,12,11:47:00,Rain,Daylight,57.2,24,7.6,55.0,8,3.5,65.0,12,5.25,63.75,11,4.75,66.25,34,9.75,68.5,23,6.5,57.833333333333336,30,9.0,58.833333333333336,44,9.166666666666666,58.666666666666664,40,10.5,,,,45.0,20,18.666666666666668
0,00I24E,179.9,None,2021-03-30,12:00,12,11:47:30,Rain,Daylight,59.0,37,9.8,,,,64.0,28,8.75,64.33333333333333,19,8.75,67.25,34,8.25,67.25,31,4.75,58.285714285714285,54,8.0,57.666666666666664,48,8.666666666666666,61.0,45,14.333333333333334,,,,44.0,21,16.333333333333332
0,00I24E,179.9,None,2021-03-30,12:00,12,11:48:00,Rain,Daylight,57.4,27,9.0,38.0,8,10.5,61.0,13,7.25,61.0,14,7.0,65.5,34,6.5,67.25,37,6.25,59.857142857142854,37,5.428571428571429,60.833333333333336,49,10.5,59.833333333333336,26,8.833333333333334,,,,35.333333333333336,19,27.333333333333332
0,00I24E,179.9,None,2021-03-30,12:00,12,11:48:30,Rain,Daylight,56.4,31,8.8,,,,64.0,19,8.25,59.5,17,7.75,65.25,37,7.5,68.5,34,7.5,57.5,45,9.0,60.333333333333336,27,7.833333333333333,59.333333333333336,41,9.5,,,,41.0,20,30.666666666666668
0,00I24E,179.9,None,2021-03-30,12:00,12,11:49:00,Rain,Daylight,57.4,44,13.4,37.0,7,5.5,62.0,27,7.75,61.0,22,12.0,64.25,30,6.25,65.0,34,5.75,56.166666666666664,45,10.142857142857142,60.333333333333336,30,7.0,60.5,43,8.833333333333334,,,,21.0,16,16.333333333333332
0,00I24E,179.9,None,2021-03-30,12:00,12,11:49:30,Rain,Daylight,57.0,37,10.2,37.25,15,8.5,62.5,25,11.25,62.0,16,8.0,66.0,38,7.0,66.0,35,7.0,59.57142857142857,36,8.714285714285714,60.666666666666664,39,8.333333333333334,60.0,32,9.0,,,,34.0,20,20.333333333333332
