incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
0,00I75S,2.1,None,2021-02-22,22:23,22,22:08:00,--,Dark,66.5,2,0.4,70.66666666666667,11,5.333333333333333,66.0,7,3.5,58.0,11,5.0,54.5,5,7.5,62.0,8,1.125,66.0,1,0.25,,,,45.0,1,0.125,,,,64.5,6,1.5714285714285714
0,00I75S,2.1,None,2021-02-22,22:23,22,22:08:30,--,Dark,64.6,15,4.8,71.0,8,2.0,61.0,2,3.0,60.0,3,0.75,58.0,4,3.0,61.833333333333336,14,2.0,66.0,3,3.5,,,,,0,0.0,,,,64.5,4,1.1428571428571428
0,00I75S,2.1,None,2021-02-22,22:23,22,22:09:00,--,Dark,66.66666666666667,5,1.4,70.5,8,5.666666666666667,,0,0.0,57.666666666666664,8,4.25,55.5,5,3.0,58.0,3,0.25,68.0,3,1.25,,,,42.0,2,0.75,,,,60.5,5,1.1428571428571428
0,00I75S,2.1,None,2021-02-22,22:23,22,22:09:30,--,Dark,64.0,10,3.4,73.0,1,0.3333333333333333,66.5,4,3.0,65.0,9,1.75,60.0,10,8.0,61.625,15,3.125,66.0,4,0.75,,,,,0,0.0,,,,60.75,6,1.4285714285714286
0,00I75S,2.1,None,2021-02-22,22:23,22,22:10:00,--,Dark,64.25,5,1.4,70.66666666666667,8,4.0,65.5,5,1.5,57.0,6,2.5,59.5,3,2.5,62.833333333333336,19,3.0,67.0,8,1.75,,,,,0,0.0,,,,62.5,3,0.42857142857142855
0,00I75S,2.1,None,2021-02-22,22:23,22,22:10:30,--,Dark,64.0,8,2.6,71.0,4,2.0,65.0,2,1.0,58.5,4,2.5,59.5,7,10.0,62.875,16,2.75,68.0,2,0.25,,,,,0,0.0,,,,61.25,8,2.7142857142857144
0,00I75S,2.1,None,2021-02-22,22:23,22,22:11:00,--,Dark,63.8,15,4.0,72.0,2,0.6666666666666666,66.0,2,1.0,62.75,9,4.75,57.5,5,5.5,61.285714285714285,22,5.0,70.0,4,2.0,,,,42.0,2,1.75,,,,61.333333333333336,5,1.2857142857142858
0,00I75S,2.1,None,2021-02-22,22:23,22,22:11:30,--,Dark,65.25,4,0.8,71.66666666666667,4,1.6666666666666667,67.0,3,1.0,59.0,2,1.0,54.0,1,0.5,62.166666666666664,11,3.375,64.0,5,1.75,,,,,0,0.0,,,,66.0,1,0.14285714285714285
0,00I75S,2.1,None,2021-02-22,22:23,22,22:12:00,--,Dark,62.6,8,1.4,68.5,5,2.6666666666666665,63.0,2,0.5,63.25,9,3.5,54.0,4,4.5,60.5,16,2.25,63.0,5,2.75,,,,,0,0.0,,,,58.666666666666664,3,1.1428571428571428
0,00I75S,2.1,None,2021-02-22,22:23,22,22:12:30,--,Dark,61.25,7,2.6,71.33333333333333,10,5.333333333333333,64.0,2,3.5,72.0,2,0.5,,0,0.0,60.6,13,3.25,64.0,5,2.0,,,,41.0,1,0.5,,,,66.0,4,1.1428571428571428
