incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
0,00I75N,4.9,None,2021-01-10,14:00,14,13:45:00,--,Daylight,67.5,56,5.0,67.0,26,6.75,70.33333333333333,6,1.5,58.0,1,0.5,68.0,4,4.333333333333333,71.25,13,2.5,67.5,13,3.25,71.75,21,4.6,71.0,22,3.4,75.0,13,2.2,75.0,13,2.75
0,00I75N,4.9,None,2021-01-10,14:00,14,13:45:30,--,Daylight,67.375,49,5.125,68.25,16,3.0,70.75,14,3.5,64.5,5,3.0,69.33333333333333,3,3.6666666666666665,72.75,15,4.75,71.0,14,3.0,71.5,22,3.6,71.0,15,1.8,74.0,11,2.4,73.33333333333333,12,3.0
0,00I75N,4.9,None,2021-01-10,14:00,14,13:46:00,--,Daylight,67.0,28,3.0,65.75,31,7.5,69.75,10,2.75,66.5,3,1.0,71.5,3,4.0,71.0,21,4.25,66.5,22,5.25,71.4,17,2.8,71.0,8,2.0,73.66666666666667,13,2.2,73.66666666666667,13,2.75
0,00I75N,4.9,None,2021-01-10,14:00,14,13:46:30,--,Daylight,66.75,58,5.875,66.25,21,4.25,69.75,17,4.5,67.0,2,1.0,71.5,3,3.0,71.0,11,1.75,67.75,9,2.0,71.8,9,2.6,70.0,20,4.0,73.66666666666667,7,1.0,74.25,9,2.5
0,00I75N,4.9,None,2021-01-10,14:00,14,13:47:00,--,Daylight,67.5,54,5.875,66.25,32,7.25,69.33333333333333,14,4.25,72.0,1,0.5,65.0,3,3.0,72.25,12,2.5,66.25,23,6.5,71.5,17,3.2,71.0,16,2.2,73.4,16,2.2,72.75,13,3.5
0,00I75N,4.9,None,2021-01-10,14:00,14,13:47:30,--,Daylight,67.625,59,5.875,66.75,19,4.5,69.5,13,5.0,62.0,2,1.0,70.0,2,2.0,72.25,16,3.0,67.5,14,2.75,72.0,13,1.8,71.2,18,3.2,71.66666666666667,9,1.8,72.0,15,3.75
0,00I75N,4.9,None,2021-01-10,14:00,14,13:48:00,--,Daylight,67.5,48,5.125,68.25,18,4.25,70.0,13,3.75,65.5,2,1.0,67.0,3,3.0,70.75,14,4.75,65.75,16,3.75,73.0,13,2.2,71.8,12,1.6,72.2,21,3.4,74.0,5,1.5
0,00I75N,4.9,None,2021-01-10,14:00,14,13:48:30,--,Daylight,67.75,40,5.125,67.25,21,4.25,71.25,21,5.25,65.0,2,1.0,68.33333333333333,7,7.0,72.75,15,2.75,65.75,22,5.0,72.6,12,1.6,70.2,16,3.4,74.0,8,1.8,73.75,10,2.75
0,00I75N,4.9,None,2021-01-10,14:00,14,13:49:00,--,Daylight,65.625,51,6.375,67.0,33,7.75,70.33333333333333,15,4.0,,0,0.5,71.0,1,1.0,69.25,20,4.25,66.5,25,4.75,72.4,19,4.8,71.4,18,2.6,73.2,16,2.4,71.0,11,2.0
0,00I75N,4.9,None,2021-01-10,14:00,14,13:49:30,--,Daylight,65.625,61,7.25,66.25,25,5.0,69.75,13,4.0,60.5,2,1.0,68.0,3,3.0,70.0,37,9.25,65.5,29,6.75,73.2,20,2.6,72.6,19,3.0,74.0,16,3.4,72.33333333333333,12,2.25
0,00I75N,4.9,None,2021-01-10,14:00,14,13:50:00,--,Daylight,66.375,53,5.25,68.5,23,5.75,69.0,9,3.25,55.0,3,1.5,68.66666666666667,7,10.333333333333334,70.5,22,6.25,65.75,18,4.25,72.2,19,2.6,69.6,26,4.4,74.25,14,2.2,74.25,14,2.75
0,00I75N,4.9,None,2021-01-10,14:00,14,13:50:30,--,Daylight,67.0,40,4.75,68.66666666666667,13,3.0,69.75,15,6.75,63.0,5,1.5,71.5,4,4.0,69.75,17,4.0,65.5,17,3.5,71.8,25,4.6,71.0,17,3.4,71.66666666666667,7,1.0,73.75,7,1.25
0,00I75N,4.9,None,2021-01-10,14:00,14,13:51:00,--,Daylight,68.5,38,4.25,68.5,24,6.75,68.75,22,7.75,64.5,2,1.0,66.0,2,2.0,70.25,13,5.0,65.66666666666667,16,4.25,74.0,19,3.2,70.6,14,2.0,74.0,18,3.2,74.0,18,4.0
0,00I75N,4.9,None,2021-01-10,14:00,14,13:51:30,--,Daylight,68.0,48,5.625,67.0,37,9.75,67.5,5,2.25,62.0,8,3.5,70.0,1,1.0,71.0,25,5.0,63.75,24,5.0,73.6,14,1.8,71.0,22,3.0,72.66666666666667,10,1.8,72.66666666666667,11,2.0
