incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
0,00I24W,174.4,None,2020-11-20,22:15,22,22:00:00,--,Dark,52.5,8,5.0,70.5,9,6.5,71.4,22,3.2,71.5,9,5.25,56.0,8,3.75,63.5,9,3.0,56.0,1,0.5,64.5,4,3.5,63.0,3,1.0,63.0,6,5.0,72.0,3,1.0
0,00I24W,174.4,None,2020-11-20,22:15,22,22:00:30,--,Dark,52.0,5,5.5,68.5,9,6.5,70.8,20,3.8,70.33333333333333,4,1.5,56.25,9,1.5,62.5,9,5.0,61.5,5,3.0,67.0,3,1.5,61.0,5,4.0,65.0,2,0.5,76.0,7,5.5
0,00I24W,174.4,None,2020-11-20,22:15,22,22:01:00,--,Dark,53.5,14,12.0,67.5,6,6.0,70.0,19,3.2,70.25,11,9.25,53.75,15,4.0,62.0,12,6.5,63.0,10,3.5,63.5,4,3.5,63.5,4,1.0,65.0,5,3.5,74.5,5,4.5
0,00I24W,174.4,None,2020-11-20,22:15,22,22:01:30,--,Dark,54.5,5,3.5,67.0,12,8.5,73.0,25,3.6,76.5,3,1.0,56.0,9,3.0,63.5,10,5.0,62.5,8,4.5,62.0,1,0.5,63.0,8,4.0,64.5,2,1.0,74.0,6,6.5
0,00I24W,174.4,None,2020-11-20,22:15,22,22:02:00,--,Dark,53.5,5,3.5,65.5,8,8.0,69.2,23,5.6,73.0,3,3.25,52.75,21,8.25,62.5,18,9.5,64.5,5,5.5,65.0,5,5.0,62.5,5,3.5,69.0,1,0.5,70.0,2,2.5
0,00I24W,174.4,None,2020-11-20,22:15,22,22:02:30,--,Dark,53.5,9,9.5,67.0,10,10.0,69.2,28,6.6,68.25,8,6.5,53.0,20,8.0,63.5,14,5.0,57.0,2,3.5,64.5,9,4.0,63.5,6,3.0,,0,0.5,74.0,5,3.0
0,00I24W,174.4,None,2020-11-20,22:15,22,22:03:00,--,Dark,55.5,5,6.0,64.0,10,8.0,72.0,32,5.4,67.5,8,5.75,52.0,19,6.5,63.5,11,7.5,62.0,11,7.5,66.0,11,8.0,64.0,8,6.5,65.0,2,0.5,73.5,7,2.5
0,00I24W,174.4,None,2020-11-20,22:15,22,22:03:30,--,Dark,55.5,8,8.5,66.0,4,3.5,68.0,14,3.2,67.5,16,10.5,51.5,15,4.75,61.0,13,4.5,65.5,7,2.5,66.5,8,5.5,63.0,3,3.0,65.0,9,7.0,73.5,2,2.5
0,00I24W,174.4,None,2020-11-20,22:15,22,22:04:00,--,Dark,53.0,13,10.0,66.0,1,0.5,72.75,21,2.8,69.5,4,3.75,53.75,30,9.5,60.0,4,2.0,58.0,9,6.5,67.5,5,3.5,64.5,11,11.0,62.0,9,6.0,72.0,3,3.0
0,00I24W,174.4,None,2020-11-20,22:15,22,22:04:30,--,Dark,54.0,3,4.5,64.5,10,8.5,72.75,34,6.2,72.66666666666667,8,5.5,53.75,7,2.0,62.0,13,4.5,59.0,3,1.0,67.5,12,8.5,61.5,11,6.5,63.5,12,8.5,72.5,4,4.5
0,00I24W,174.4,None,2020-11-20,22:15,22,22:05:00,--,Dark,52.5,7,4.5,66.0,4,2.5,71.0,27,4.6,67.0,9,6.0,54.75,13,7.0,60.5,17,7.5,58.0,3,3.0,66.5,5,4.0,63.0,9,9.0,64.0,3,1.0,72.5,9,4.5
0,00I24W,174.4,None,2020-11-20,22:15,22,22:05:30,--,Dark,47.0,3,3.5,67.0,11,10.5,71.0,9,1.2,67.5,5,2.75,54.25,18,5.5,59.5,20,13.5,59.5,4,3.5,67.0,10,10.0,63.5,4,1.5,63.5,6,3.0,71.5,11,4.5
0,00I24W,174.4,None,2020-11-20,22:15,22,22:06:00,--,Dark,60.0,2,1.0,65.5,5,3.5,72.25,24,6.2,71.33333333333333,4,2.75,53.25,11,6.25,62.5,8,4.5,54.0,6,6.5,61.5,19,14.0,62.0,5,1.5,64.5,4,4.5,73.5,5,5.0
0,00I24W,174.4,None,2020-11-20,22:15,22,22:06:30,--,Dark,52.5,4,3.0,66.5,5,4.0,72.0,14,2.0,67.5,10,8.5,54.0,10,3.5,62.0,7,2.5,57.5,14,10.0,68.0,1,0.5,62.5,5,3.0,65.5,10,7.5,73.5,6,4.5
0,00I24W,174.4,None,2020-11-20,22:15,22,22:07:00,--,Dark,55.0,7,3.5,65.5,10,7.0,70.5,17,3.8,63.5,8,8.25,52.5,23,9.75,61.5,7,1.5,56.0,7,7.0,64.5,4,3.5,60.0,7,5.5,64.0,14,14.5,69.0,2,3.5
0,00I24W,174.4,None,2020-11-20,22:15,22,22:07:30,--,Dark,55.0,8,10.5,65.5,5,4.5,70.4,18,3.8,69.33333333333333,6,3.75,53.25,12,4.25,61.0,13,8.5,55.0,3,1.0,62.5,8,8.0,60.5,14,16.5,65.5,2,1.0,74.5,6,3.5
0,00I24W,174.4,None,2020-11-20,22:15,22,22:08:00,--,Dark,50.0,2,5.0,67.5,3,1.0,68.2,21,4.6,67.0,2,2.5,54.0,12,4.25,58.0,13,6.5,56.5,3,1.0,64.5,6,4.0,58.5,8,7.0,59.0,2,2.5,73.5,15,11.5
0,00I24W,174.4,None,2020-11-20,22:15,22,22:08:30,--,Dark,58.5,5,5.0,66.0,7,7.5,69.0,21,4.6,64.0,5,3.5,51.5,15,6.75,58.5,15,11.0,58.0,6,4.5,63.5,7,6.0,45.0,1,2.0,61.5,11,9.0,73.5,4,5.5
0,00I24W,174.4,None,2020-11-20,22:15,22,22:09:00,--,Dark,56.5,5,4.5,67.5,9,4.0,69.0,22,5.0,71.0,3,1.0,53.75,16,8.0,59.0,6,3.5,55.5,5,3.0,64.5,7,8.0,63.0,4,2.0,60.0,8,4.0,69.0,1,1.0
0,00I24W,174.4,None,2020-11-20,22:15,22,22:09:30,--,Dark,57.5,7,5.5,67.5,4,3.0,68.75,13,1.6,66.75,7,9.75,53.0,7,3.25,59.0,7,1.5,58.0,11,10.0,66.0,6,3.0,62.0,9,7.0,61.0,6,2.0,70.0,1,1.0
0,00I24W,174.4,None,2020-11-20,22:15,22,22:10:00,--,Dark,55.0,8,11.5,68.0,10,15.5,70.0,16,3.0,62.333333333333336,6,7.75,51.25,20,9.0,61.0,5,1.0,57.0,5,4.5,65.0,7,6.0,59.5,6,2.0,62.5,8,12.0,74.5,5,2.0
